PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
414732,"Rasmus Dahlin",6500,D,BUF,NYI,8405110,1097019,1,1,,0.1763,0.5821,2.276,1.4474,0,0,0,0,0.08,0.234,0.7584,0.314,10.73,1.65,7.47,10.88,62,2.99,20.29,0,,414732,1.441,7.99,23.5,161,2004,75381,0
14362,"Roman Josi",6600,D,NSH,UTA,8405160,547488,1,1,,0.1858,0.5978,2.4463,1.6576,0,0,0,0,0.0891,0.267,0.7836,0.3561,11.61,1.76,7.62,11.03,63,3.72,21.36,0,,14362,0.734,8.15,24.2,173,1959,29957,1
1279000,"Simon Holmstrom",3300,W,NYI,BUF,8405110,1172205,3,1,,0.263,0.2779,1.3734,0.5958,0,0,0,0,0.0546,0.0705,0.5409,0.1251,6.8,2.06,7,9.99,64,0,15.76,0,,1279000,0.396,4.92,16.8,156,2135,91941,1
414835,"Sean Durzi",4300,D,UTA,NSH,8405160,1121507,1,2,,0.099,0.3711,1.5962,1.9061,0,0,0,0,0.029,0.0922,0.4701,0.1212,8.62,2,6.45,9.28,65,1.94,16.88,0,,414835,0.795,6.04,20.2,183,2005,75427,0
415298,"Jack McBain",2900,C,UTA,NSH,8405160,1121518,3,,,0.1725,0.1974,1.2891,0.6716,0,0,0,0,0,0,0.3699,0,5.58,1.92,5.73,8.08,66,0,12.91,0,,415298,3.311,5.44,14.3,183,2005,75446,0
16694,"Jean-Gabriel Pageau",3400,C,NYI,BUF,8405110,610574,3,,,0.1787,0.2582,1.2973,0.7376,0,0,0,0,0,0,0.4369,0,6.07,1.79,6.05,8.66,67,0,13.81,0,,16694,1.785,5.03,15.7,156,2135,30739,1
4200011,"Karel Vejmelka",7900,G,UTA,NSH,8405160,878314,,,C,0,0,0,0,0.5413,22.898,3.0293,0.0559,0,0,0,0,9.93,1.26,8.12,10.37,68,1.52,20.32,0,,4200011,0,7.9,,183,2005,166640,0
16786,"Nate Schmidt",2900,D,UTA,NSH,8405160,729825,2,,,0.0652,0.2072,1.0907,1.2949,0,0,0,0,0,0,0.2724,0,5.49,1.89,5.06,7.2,69,0.25,11.97,0,,16786,1.108,4.16,19.1,183,2005,30367,0
16769,"Filip Forsberg",7100,W,NSH,UTA,8405160,659855,1,1,,0.4147,0.48,2.6783,0.4698,0,0,0,0,0.1273,0.2003,0.8947,0.3276,11.36,1.6,9.03,12.91,70,2,22.92,0,,16769,1.782,8.61,18.5,173,1959,29956,1
37712,"Tage Thompson",8200,C,BUF,NYI,8405110,920236,1,1,,0.5219,0.4522,3.0966,0.496,0,0,0,0,0.1332,0.1551,0.9741,0.2883,13.05,1.59,9.77,13.88,71,2.93,25.56,0,,37712,1.006,9.18,18.6,161,2004,37836,0
