,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Kent Johnson,CBJ,C,0.14,0.23,0.37,-0.08,0.12,1.22,0.02,0.05,0.08,0.01,0.03,0.06,0.35
Ross Johnston,ANA,LW,0.04,0.11,0.15,-0.13,1.59,0.48,0.03,0.00,0.00,0.00,0.00,3.08,0.46
Mathieu Joseph,STL,RW,0.07,0.15,0.22,-0.06,0.46,0.90,0.01,0.00,0.00,0.03,0.00,1.91,0.54
Pierre-Olivier Joseph,VAN,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Noah Juulsen,PHI,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kaapo Kakko,SEA,RW,0.25,0.45,0.69,-0.08,0.48,1.68,0.02,0.07,0.10,0.00,0.00,0.69,0.36
David Kampf,VAN,RW,0.05,0.04,0.09,-0.16,0.31,0.73,0.00,0.00,0.00,0.00,0.00,0.82,0.52
Evander Kane,VAN,LW,0.21,0.35,0.56,-0.10,1.16,2.25,0.03,0.04,0.07,0.00,0.00,2.55,0.42
Linus Karlsson,VAN,C,0.19,0.16,0.35,0.04,0.64,1.26,0.04,0.04,0.02,0.00,0.00,1.23,0.20
Tye Kartye,SEA,C,0.10,0.12,0.21,-0.15,0.51,0.80,0.00,0.00,0.00,0.00,0.00,2.08,0.53
Adrian Kempe,LAK,C,0.41,0.47,0.88,0.18,0.41,2.82,0.07,0.07,0.14,0.01,0.01,1.07,0.44
Matt Kessel,STL,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Alex Killorn,ANA,C,0.13,0.20,0.33,0.06,0.32,1.24,0.03,0.01,0.04,0.01,0.01,0.65,0.26
Travis Konecny,PHI,RW,0.34,0.62,0.96,-0.02,0.63,2.25,0.04,0.10,0.15,0.02,0.03,1.02,0.45
Anze Kopitar,LAK,C,0.27,0.52,0.78,0.23,0.12,1.59,0.06,0.11,0.19,0.00,0.01,0.37,0.91
Chris Kreider,ANA,LW,0.34,0.24,0.57,0.02,0.37,2.16,0.04,0.16,0.11,0.03,0.00,0.96,0.34
Torey Krug,STL,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nikita Kucherov,TBL,RW,0.46,1.09,1.55,0.32,0.43,3.18,0.11,0.09,0.38,0.00,0.00,0.33,0.36
Andrei Kuzmenko,LAK,LW,0.22,0.29,0.51,-0.02,0.13,1.29,0.02,0.07,0.05,0.00,0.00,0.21,0.29
Jordan Kyrou,STL,RW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jackson LaCombe,ANA,D,0.17,0.42,0.60,-0.01,0.31,1.87,0.02,0.04,0.25,0.01,0.03,0.81,1.77
Alex Laferriere,LAK,RW,0.31,0.33,0.64,0.23,0.20,2.51,0.05,0.02,0.06,0.01,0.00,1.65,0.57
Adam Larsson,SEA,D,0.07,0.25,0.33,0.16,0.48,1.32,0.02,0.00,0.00,0.00,0.00,1.31,2.08
Emil Lilleberg,TBL,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan Lindgren,SEA,D,0.04,0.26,0.30,0.09,0.65,0.97,0.01,0.00,0.00,0.00,0.01,0.94,1.92
Isac Lundestrom,CBJ,C,0.03,0.10,0.13,-0.14,0.07,0.64,0.01,0.00,0.01,0.00,0.00,0.45,0.66
Josh Mahura,SEA,D,0.00,0.16,0.16,0.19,0.40,0.93,0.00,0.00,0.00,0.00,0.00,1.37,1.24
Logan Mailloux,STL,D,0.06,0.18,0.24,-0.09,1.13,1.24,0.00,0.00,0.03,0.00,0.00,1.15,0.93
Jeff Malott,LAK,C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Kirill Marchenko,CBJ,LW,0.23,0.42,0.65,0.13,0.24,2.26,0.02,0.07,0.24,0.02,0.00,0.63,0.54
Mason Marchment,CBJ,LW,0.22,0.29,0.51,0.13,0.75,1.87,0.04,0.06,0.09,0.00,0.00,1.23,0.40
Luca Marrelli,CBJ,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Denton Mateychuk,CBJ,D,0.11,0.23,0.35,0.01,0.31,1.09,0.00,0.02,0.04,0.00,0.00,0.65,1.84
Jared McCann,SEA,LW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ryan McDonagh,TBL,D,0.03,0.30,0.33,0.34,0.21,0.93,0.01,0.00,0.02,0.00,0.00,0.34,1.58
Mason McTavish,ANA,C,0.24,0.34,0.57,-0.05,0.54,1.78,0.04,0.10,0.10,0.00,0.00,0.68,0.38
Jacob Melanson,SEA,RW,0.00,0.00,0.00,-0.21,0.00,0.60,0.00,0.00,0.00,0.00,0.00,3.74,0.43
Ben Meyers,SEA,LW,0.05,0.10,0.15,-0.35,0.25,1.05,0.00,0.00,0.00,0.00,0.00,1.29,0.14
Matvei Michkov,PHI,RW,0.27,0.39,0.67,-0.08,0.53,1.75,0.05,0.10,0.14,0.00,0.00,0.27,0.19
Pavel Mintyukov,ANA,D,0.08,0.18,0.25,-0.03,0.19,0.89,0.02,0.00,0.06,0.00,0.00,0.82,1.23
Sean Monahan,CBJ,C,0.16,0.35,0.51,0.06,0.21,1.68,0.05,0.09,0.14,0.00,0.05,0.43,0.56
Brandon Montour,SEA,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ian Moore,ANA,D,0.05,0.21,0.26,0.34,0.41,1.35,0.02,0.00,0.00,0.00,0.00,0.45,0.99
Trevor Moore,LAK,LW,0.22,0.30,0.52,0.16,0.17,2.16,0.03,0.01,0.04,0.01,0.01,0.69,0.51
J.J. Moser,TBL,D,0.06,0.28,0.34,0.43,0.39,1.18,0.00,0.00,0.03,0.00,0.00,0.75,1.38
Jacob Moverare,LAK,D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
