"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Duncan","Robinson","DET","DET vs. POR","11.28","2.70","1.79","2.48","0.26","0.81","0.89","15.76","13.97","13.06","21.16","2025-12-22T21:53:35Z"
"Isaiah","Joe","OKC","MEM vs. OKC","11.23","2.90","1.76","3.13","0.16","0.73","0.64","15.88","14.13","12.99","21.16","2025-12-22T21:53:35Z"
"Jock","Landale","MEM","MEM vs. OKC","11.14","6.79","2.03","1.36","0.48","0.58","1.44","19.95","17.92","13.17","26.17","2025-12-22T21:53:36Z"
"Neemias","Queta","BOS","IND vs. BOS","11.05","8.72","1.93","0.00","1.20","0.70","1.03","21.70","19.77","12.98","29.15","2025-12-22T21:53:34Z"
"Brandin","Podziemski","GSW","ORL vs. GSW","10.98","4.38","3.05","1.49","0.15","0.94","1.79","18.42","15.36","14.03","24.86","2025-12-22T21:53:34Z"
"Ryan","Nembhard","DAL","DAL vs. NOP","10.69","2.02","7.26","1.55","0.00","0.43","1.95","19.97","12.71","17.95","26.71","2025-12-22T21:53:35Z"
"Klay","Thompson","DAL","DAL vs. NOP","10.56","2.01","1.38","2.41","0.22","0.36","0.64","13.95","12.57","11.94","17.83","2025-12-22T21:53:35Z"
"Brice","Sensabaugh","UTA","UTA vs. DEN","10.25","2.62","1.64","1.92","0.28","0.78","1.21","14.51","12.87","11.89","19.66","2025-12-22T21:53:35Z"
"Caris","LeVert","DET","DET vs. POR","10.22","2.52","2.97","1.28","0.41","1.07","1.24","15.71","12.74","13.19","22.04","2025-12-22T21:53:35Z"
"Donovan","Clingan","POR","DET vs. POR","10.13","11.30","2.13","0.86","2.04","0.81","1.36","23.56","21.43","12.26","34.27","2025-12-22T21:53:35Z"
"Isaiah","Collier","UTA","UTA vs. DEN","10.12","2.63","6.78","0.49","0.38","0.73","2.16","19.53","12.75","16.90","27.14","2025-12-22T21:53:35Z"
"Moussa","Diabate","CHA","CHA vs. CLE","10.03","8.89","1.61","0.00","0.92","0.85","1.16","20.54","18.93","11.65","27.69","2025-12-22T21:53:34Z"
"Jay","Huff","IND","IND vs. BOS","9.85","4.89","1.25","1.97","1.89","0.36","0.92","16.00","14.74","11.10","23.80","2025-12-22T21:53:34Z"
"Aaron","Wiggins","OKC","MEM vs. OKC","9.79","3.25","1.74","1.97","0.36","0.66","0.90","14.79","13.04","11.53","19.94","2025-12-22T21:53:35Z"
"Kenrich","Williams","OKC","MEM vs. OKC","9.78","4.95","2.31","1.70","0.20","0.84","0.98","17.04","14.73","12.09","22.86","2025-12-22T21:53:36Z"
"Herbert","Jones","NOP","DAL vs. NOP","9.66","3.29","2.31","1.19","0.25","1.58","1.30","15.26","12.95","11.97","22.15","2025-12-22T21:53:35Z"
"Sam","Hauser","BOS","IND vs. BOS","9.58","4.53","1.34","2.18","0.32","0.53","0.63","15.46","14.12","10.93","20.38","2025-12-22T21:53:34Z"
"Branden","Carlson","OKC","MEM vs. OKC","9.45","4.52","1.81","2.05","1.36","0.41","0.68","15.79","13.98","11.26","22.73","2025-12-22T21:53:35Z"
"Jusuf","Nurkic","UTA","UTA vs. DEN","9.45","7.88","3.45","0.45","0.39","1.00","1.56","20.78","17.33","12.89","28.27","2025-12-22T21:53:35Z"
"Jaden","Ivey","DET","DET vs. POR","9.41","2.20","2.37","1.01","0.15","0.76","1.71","13.98","11.61","11.78","18.90","2025-12-22T21:53:35Z"
"Bruce","Brown","DEN","UTA vs. DEN","9.34","4.36","2.55","0.86","0.48","1.07","0.89","16.25","13.70","11.89","22.58","2025-12-22T21:53:34Z"
"Isaiah","Stewart","DET","DET vs. POR","9.26","5.84","1.56","0.91","2.17","0.45","1.57","16.67","15.11","10.82","25.41","2025-12-22T21:53:35Z"
"Moses","Moody","GSW","ORL vs. GSW","8.60","3.03","1.41","1.52","0.48","0.80","0.88","13.03","11.62","10.00","18.26","2025-12-22T21:53:34Z"
"Quinten","Post","GSW","ORL vs. GSW","8.58","5.09","1.70","1.75","0.68","0.70","0.92","15.37","13.68","10.28","21.61","2025-12-22T21:53:34Z"
"Jose","Alvarado","NOP","DAL vs. NOP","8.40","2.46","3.57","1.40","0.16","1.01","1.45","14.43","10.86","11.97","20.58","2025-12-22T21:53:35Z"
"Svi","Mykhailiuk","UTA","UTA vs. DEN","8.37","2.21","1.99","1.68","0.20","0.44","0.89","12.56","10.57","10.35","16.67","2025-12-22T21:53:35Z"
"Jonas","Valanciunas","DEN","UTA vs. DEN","8.34","4.80","1.45","0.09","0.57","0.28","0.77","14.58","13.13","9.78","18.64","2025-12-22T21:53:35Z"
"Cason","Wallace","OKC","MEM vs. OKC","8.30","3.31","2.64","1.42","0.33","1.97","0.89","14.25","11.61","10.94","22.14","2025-12-22T21:53:35Z"
"Kentavious","Caldwell-Pope","MEM","MEM vs. OKC","8.28","2.77","3.02","1.44","0.31","1.06","1.40","14.07","11.05","11.30","20.43","2025-12-22T21:53:36Z"
"Tristan","da Silva","ORL","ORL vs. GSW","8.22","3.47","1.30","1.21","0.19","0.55","0.86","12.99","11.69","9.52","17.02","2025-12-22T21:53:34Z"
"Quenton","Jackson","IND","IND vs. BOS","8.10","2.31","2.43","0.85","0.16","0.75","0.69","12.84","10.41","10.53","17.23","2025-12-22T21:53:34Z"
"Tre","Mann","CHA","CHA vs. CLE","8.03","2.48","2.74","1.20","0.12","0.71","1.37","13.25","10.51","10.76","18.17","2025-12-22T21:53:34Z"
"Josh","Minott","BOS","IND vs. BOS","7.97","4.14","1.11","1.42","0.56","0.87","0.72","13.22","12.11","9.08","18.75","2025-12-22T21:53:34Z"
"Sidy","Cissoko","POR","DET vs. POR","7.92","3.62","2.04","0.94","0.41","0.74","1.69","13.58","11.54","9.96","19.11","2025-12-22T21:53:35Z"
"Daniel","Gafford","DAL","DAL vs. NOP","7.87","4.12","0.98","0.00","1.48","0.39","0.99","12.97","11.99","8.85","18.72","2025-12-22T21:53:35Z"
"Jarace","Walker","IND","IND vs. BOS","7.70","3.58","1.70","1.36","0.29","0.30","1.30","12.97","11.27","9.39","17.22","2025-12-22T21:53:34Z"
"Draymond","Green","GSW","ORL vs. GSW","7.69","5.66","4.47","1.28","0.98","1.22","2.64","17.82","13.34","12.16","27.83","2025-12-22T21:53:34Z"
"Luguentz","Dort","OKC","MEM vs. OKC","7.65","3.53","1.05","1.97","0.38","0.95","0.62","12.23","11.18","8.70","17.58","2025-12-22T21:53:35Z"
"Spencer","Jones","DEN","UTA vs. DEN","7.25","3.04","1.30","0.78","0.46","1.22","0.83","11.58","10.29","8.55","17.16","2025-12-22T21:53:35Z"
"De'Anthony","Melton","GSW","ORL vs. GSW","7.22","2.02","1.74","1.24","0.23","1.06","0.82","10.98","9.24","8.96","15.98","2025-12-22T21:53:34Z"
"Max","Christie","DAL","DAL vs. NOP","7.20","2.27","1.23","1.43","0.21","0.39","0.70","10.70","9.47","8.43","14.17","2025-12-22T21:53:35Z"
"Kris","Murray","POR","DET vs. POR","7.05","4.69","1.52","0.85","0.58","1.20","1.28","13.26","11.74","8.57","19.82","2025-12-22T21:53:35Z"
"Jase","Richardson","ORL","ORL vs. GSW","7.00","1.63","2.20","1.02","0.00","0.51","0.89","10.83","8.63","9.20","14.30","2025-12-22T21:53:34Z"
"Lonzo","Ball","CLE","CHA vs. CLE","6.92","3.89","3.70","1.59","0.35","1.41","1.17","14.51","10.81","10.62","22.23","2025-12-22T21:53:34Z"
"Karlo","Matkovic","NOP","DAL vs. NOP","6.92","3.67","0.98","0.49","0.71","0.31","0.70","11.57","10.59","7.90","15.61","2025-12-22T21:53:35Z"
"Robert","Williams","POR","DET vs. POR","6.78","6.89","1.15","0.12","1.72","0.89","1.07","14.83","13.68","7.94","22.95","2025-12-22T21:53:35Z"
"Isaiah","Jackson","IND","IND vs. BOS","6.72","5.30","0.92","0.00","0.92","0.39","0.91","12.94","12.02","7.63","17.79","2025-12-22T21:53:34Z"
"Dean","Wade","CLE","CHA vs. CLE","6.50","4.26","1.82","1.55","0.38","0.91","0.37","12.58","10.76","8.32","18.11","2025-12-22T21:53:34Z"
"Javonte","Green","DET","DET vs. POR","6.37","3.09","1.01","0.69","0.26","1.95","0.74","10.47","9.46","7.38","16.87","2025-12-22T21:53:35Z"
"Olivier-Maxence","Prosper","MEM","MEM vs. OKC","6.32","3.34","1.32","0.32","0.09","0.66","0.69","10.99","9.67","7.64","14.50","2025-12-22T21:53:36Z"
"Tyus","Jones","ORL","ORL vs. GSW","6.19","1.48","3.00","1.43","0.09","0.81","0.55","10.67","7.67","9.19","15.33","2025-12-22T21:53:34Z"
"D'Angelo","Russell","DAL","DAL vs. NOP","6.03","1.31","2.59","0.94","0.20","0.46","1.06","9.93","7.34","8.62","13.88","2025-12-22T21:53:35Z"
"Tidjane","Salaun","CHA","CHA vs. CLE","5.95","3.95","1.22","0.95","0.16","0.35","0.95","11.12","9.89","7.17","14.69","2025-12-22T21:53:34Z"
"Taylor","Hendricks","UTA","UTA vs. DEN","5.94","3.73","0.82","1.05","0.56","0.61","0.44","10.49","9.67","6.76","14.91","2025-12-22T21:53:35Z"
"Caleb","Love","POR","DET vs. POR","5.87","1.69","1.35","0.98","0.00","0.40","0.65","8.90","7.55","7.22","11.60","2025-12-22T21:53:35Z"
"Goga","Bitadze","ORL","ORL vs. GSW","5.74","5.15","1.88","0.08","0.97","0.57","0.59","12.77","10.89","7.62","18.43","2025-12-22T21:53:34Z"
"Sion","James","CHA","CHA vs. CLE","5.55","2.73","1.48","1.11","0.20","0.54","0.78","9.75","8.28","7.03","13.60","2025-12-22T21:53:34Z"
"Thomas","Bryant","CLE","CHA vs. CLE","5.36","3.03","0.50","1.12","0.46","0.49","0.45","8.89","8.39","5.86","12.57","2025-12-22T21:53:34Z"
"Jett","Howard","ORL","ORL vs. GSW","5.31","1.26","0.96","0.92","0.15","0.27","0.70","7.52","6.57","6.26","9.96","2025-12-22T21:53:34Z"
"Hugo","Gonzalez","BOS","IND vs. BOS","5.19","4.10","0.56","0.67","0.24","1.35","0.74","9.85","9.29","5.75","15.06","2025-12-22T21:53:34Z"
"Jonathan","Kuminga","GSW","ORL vs. GSW","4.99","1.86","0.78","0.34","0.13","0.23","0.70","7.63","6.86","5.77","9.73","2025-12-22T21:53:34Z"
"Nae'Qwan","Tomlin","CLE","CHA vs. CLE","4.95","1.90","0.53","0.38","0.28","0.46","0.22","7.38","6.85","5.48","9.92","2025-12-22T21:53:34Z"
"Daniss","Jenkins","DET","DET vs. POR","4.94","1.19","1.69","0.52","0.03","0.71","0.85","7.81","6.12","6.63","11.10","2025-12-22T21:53:35Z"
"Garrison","Mathews","IND","IND vs. BOS","4.86","1.60","1.06","1.11","0.28","0.39","0.50","7.51","6.46","5.91","10.61","2025-12-22T21:53:34Z"
"Trayce","Jackson-Davis","GSW","ORL vs. GSW","4.45","3.35","0.83","0.00","0.53","0.42","0.52","8.63","7.80","5.29","12.04","2025-12-22T21:53:34Z"
"Pat","Spencer","GSW","ORL vs. GSW","4.31","1.67","1.72","0.30","0.04","0.39","0.76","7.70","5.98","6.03","10.37","2025-12-22T21:53:34Z"
"James","Wiseman","IND","IND vs. BOS","4.07","3.40","0.39","0.00","0.24","0.08","0.71","7.86","7.48","4.46","9.91","2025-12-22T21:53:34Z"
"Jalen","Pickett","DEN","UTA vs. DEN","4.01","1.62","2.11","0.87","0.09","0.40","0.45","7.74","5.63","6.12","10.84","2025-12-22T21:53:35Z"
"Noah","Penda","ORL","ORL vs. GSW","3.99","3.74","1.18","0.45","0.30","0.28","0.74","8.91","7.73","5.18","12.20","2025-12-22T21:53:34Z"
"Josh","Green","CHA","CHA vs. CLE","3.95","1.39","0.95","0.74","0.05","0.68","0.66","6.28","5.33","4.89","9.25","2025-12-22T21:53:34Z"
"Ethan","Thompson","IND","IND vs. BOS","3.87","1.25","1.29","0.77","0.22","0.45","0.11","6.41","5.12","5.16","9.13","2025-12-22T21:53:34Z"
"Will","Richard","GSW","ORL vs. GSW","3.76","1.34","0.50","0.51","0.02","0.39","0.41","5.60","5.10","4.25","7.46","2025-12-22T21:53:34Z"
"Mason","Plumlee","CHA","CHA vs. CLE","3.70","4.71","1.30","0.00","0.44","0.58","0.65","9.71","8.40","5.00","13.89","2025-12-22T21:53:34Z"
"Gary","Payton","GSW","ORL vs. GSW","3.57","1.65","0.87","0.43","0.11","0.56","0.45","6.10","5.22","4.44","8.73","2025-12-22T21:53:34Z"
"Tyrese","Proctor","CLE","CHA vs. CLE","3.53","0.88","0.83","0.69","0.00","0.20","0.20","5.25","4.41","4.37","6.73","2025-12-22T21:53:34Z"
"Jonathan","Isaac","ORL","ORL vs. GSW","3.34","2.90","0.43","0.29","0.52","0.75","0.52","6.66","6.24","3.76","10.56","2025-12-22T21:53:34Z"
"Walter","Clayton","UTA","UTA vs. DEN","3.25","1.02","1.68","0.40","0.12","0.21","0.55","5.95","4.27","4.93","8.18","2025-12-22T21:53:35Z"
"Johnny","Furphy","IND","IND vs. BOS","3.06","2.89","0.54","0.33","0.25","0.59","0.41","6.48","5.94","3.59","9.53","2025-12-22T21:53:34Z"
"Craig","Porter","CLE","CHA vs. CLE","2.75","1.28","1.08","0.30","0.22","0.40","0.37","5.11","4.03","3.83","7.55","2025-12-22T21:53:34Z"
"Yves","Missi","NOP","DAL vs. NOP","2.68","2.28","0.43","0.00","0.33","0.12","0.31","5.40","4.97","3.11","7.22","2025-12-22T21:53:35Z"
"Baylor","Scheierman","BOS","IND vs. BOS","2.64","1.67","0.63","0.66","0.05","0.55","0.31","4.93","4.31","3.26","7.34","2025-12-22T21:53:34Z"
"Rayan","Rupert","POR","DET vs. POR","2.62","1.46","0.42","0.29","0.08","0.45","0.63","4.51","4.09","3.04","6.59","2025-12-22T21:53:35Z"
"Zeke","Nnaji","DEN","UTA vs. DEN","1.84","0.93","0.35","0.22","0.40","0.37","0.15","3.12","2.77","2.20","5.26","2025-12-22T21:53:35Z"
"Brooks","Barnhizer","OKC","MEM vs. OKC","1.74","2.13","0.48","0.07","0.14","0.20","0.17","4.35","3.87","2.21","5.92","2025-12-22T21:53:35Z"
"Micah","Peavy","NOP","DAL vs. NOP","1.48","0.92","0.32","0.11","0.02","0.22","0.09","2.72","2.40","1.80","3.68","2025-12-22T21:53:35Z"
"Gui","Santos","GSW","ORL vs. GSW","1.36","1.03","0.38","0.22","0.05","0.18","0.35","2.78","2.39","1.75","3.97","2025-12-22T21:53:34Z"
