,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
Christian Braun,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Miles Bridges,CHA,CLE,F,34.00000,19.21666,8.12520,3.48850,0.82820,0.81913,1.91909,6.91637,14.70040,47.0,1.81529,5.53816,32.8,3.56864,4.22059,84.6,1.59706,6.52814
Bruce Brown,DEN,UTA,G,26.00000,11.65826,4.81751,2.77833,0.94227,0.28085,1.12548,4.28775,8.77246,48.9,1.17936,3.17285,37.2,1.90340,2.33426,81.5,1.33959,3.47792
Jaylen Brown,BOS,IND,F,36.00000,24.23056,8.53221,4.39953,1.40087,0.40372,2.75393,9.13587,18.84425,48.5,1.90032,5.98492,31.8,4.05849,5.60265,72.4,1.34797,7.18424
Thomas Bryant,CLE,CHA,C,14.00000,6.27068,4.71649,0.82780,0.25789,0.78361,0.59954,2.39729,4.32884,55.4,0.43901,1.30692,33.6,1.03710,1.34963,76.8,1.26507,3.45142
Jimmy Butler,GSW,ORL,F,34.00000,17.76791,6.31594,4.77316,1.51059,0.35597,1.84540,5.75880,11.73601,49.1,0.85297,2.50970,34.0,5.39732,6.49161,83.1,1.98442,4.33152
Jamal Cain,ORL,GSW,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kentavious Caldwell-Pope,MEM,OKC,G,28.00000,9.64927,4.15631,2.21843,1.06046,0.30216,1.65959,3.30581,7.88054,41.9,1.44290,3.76114,38.4,1.59474,1.88182,84.7,0.62889,3.52743
Toumani Camara,POR,DET,F,34.00000,14.34423,5.10886,2.91873,1.51504,0.53716,1.72743,4.87715,11.00023,44.3,2.14950,5.71765,37.6,2.44044,3.03000,80.5,1.84752,3.26134
Branden Carlson,OKC,MEM,C,22.00000,9.72917,6.72244,1.44363,0.27881,1.45283,0.72951,3.98950,7.19513,55.4,1.21105,3.18633,38.0,0.53912,1.04651,51.5,1.61280,5.10964
Wendell Carter,ORL,GSW,C,31.00000,12.48693,9.56389,2.36277,0.66840,0.71272,1.79632,4.67684,9.18645,50.9,1.04289,3.21737,32.4,2.09036,2.80831,74.4,2.28174,7.28215
Alex Caruso,OKC,MEM,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Colin Castleton,ORL,GSW,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Max Christie,DAL,NOP,G,17.00000,7.05439,2.41130,1.38067,0.55758,0.27065,0.70836,2.38444,5.31901,44.8,1.12531,3.01935,37.3,1.16021,1.41343,82.1,0.65652,1.75478
Moussa Cisse,DAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Sidy Cissoko,POR,DET,F,28.00000,9.97492,3.75554,2.32221,0.78776,0.25488,1.73115,3.32750,8.38923,39.7,1.61760,4.88885,33.1,1.70233,2.23337,76.2,1.35116,2.40437
Brandon Clarke,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Walter Clayton,UTA,DEN,G,8.00000,3.95469,1.00756,1.08945,0.25005,0.07295,0.48603,1.44062,3.17203,45.4,0.43699,1.25305,34.9,0.63647,0.73687,86.4,0.23880,0.76876
Donovan Clingan,POR,DET,C,33.00000,13.06334,12.27604,2.76498,0.88012,1.92961,2.02396,4.95412,9.31006,53.2,0.57919,1.74624,33.2,2.57590,3.84773,66.9,3.73498,8.54105
Isaiah Collier,UTA,DEN,G,26.00000,10.69954,3.46007,6.42709,0.96390,0.17289,2.18467,3.97105,8.52044,46.6,0.71793,2.52660,28.4,2.03950,2.85391,71.5,0.62986,2.83021
Pat Connaughton,CHA,CLE,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Javonte Cooke,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Cedric Coward,MEM,OKC,G,30.00000,12.75044,5.62974,3.59803,1.28622,0.54060,1.33433,4.27369,10.06881,42.4,1.64265,4.45374,36.9,2.56041,3.11756,82.1,1.00654,4.62320
LJ Cryer,GSW,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Cade Cunningham,DET,POR,G,36.00000,27.86611,6.74187,7.89421,1.48741,0.70150,4.12651,9.98323,21.36793,46.7,2.56127,7.34873,34.9,5.33837,6.24561,85.5,1.26668,5.47519
Seth Curry,GSW,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Stephen Curry,GSW,ORL,G,33.00000,23.16352,4.70310,5.25630,0.96789,0.29034,3.16462,7.79578,17.61610,44.3,3.85435,10.06412,38.3,3.71761,4.17763,89.0,0.57452,4.12858
Tristan da Silva,ORL,GSW,F,18.00000,6.86156,3.29181,1.35279,0.44488,0.23902,0.76602,2.39319,5.52789,43.3,0.94108,2.71359,34.7,1.13410,1.28399,88.3,0.54254,2.74927
Anthony Davis,DAL,NOP,C,34.00000,22.46707,12.91950,4.06649,1.14342,2.07578,1.96669,8.55365,16.55968,51.7,1.03490,3.77002,27.5,4.32487,5.60186,77.2,3.32378,9.59573
Moussa Diabate,CHA,CLE,C,26.00000,9.81088,10.27432,1.48066,0.94035,1.11293,1.42075,3.79819,6.46966,58.7,0.13454,0.47384,28.4,2.07996,3.11874,66.7,3.46926,6.80506
Hunter Dickinson,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ousmane Dieng,OKC,MEM,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Luguentz Dort,OKC,MEM,F,25.00000,8.83913,4.84804,1.59261,0.95492,0.55686,0.83099,3.11618,7.30660,42.6,1.83389,4.81229,38.1,0.77289,1.00965,76.6,0.89940,3.94863
Jalen Duren,DET,POR,C,29.00000,13.28706,12.31886,2.68563,0.89481,1.40230,1.97546,5.05687,8.13357,62.2,0.15477,0.43727,35.4,3.01856,4.35557,69.3,4.10796,8.21091
Zach Edey,MEM,OKC,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Dante Exum,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jeremiah Fears,NOP,DAL,G,23.00000,11.04180,4.08599,2.35398,0.80123,0.12195,1.91048,3.89038,9.62236,40.4,1.03790,3.37295,30.8,2.22314,2.66160,83.5,0.74613,3.33985
Kyle Filipowski,UTA,DEN,C,26.00000,13.85158,8.41830,2.80237,0.82044,0.51979,1.57170,5.27948,9.70024,54.4,1.21744,3.39435,35.9,2.07517,3.04500,68.2,2.89482,5.52347
Cooper Flagg,DAL,NOP,F,36.00000,18.41294,7.82258,4.02116,1.21814,0.81302,2.26584,6.41933,13.92948,46.1,2.07472,5.87885,35.3,3.49958,4.32062,81.0,1.44785,6.37473
Johnny Furphy,IND,BOS,G,15.00000,5.14934,3.26486,1.17407,0.50273,0.26364,0.63104,1.69418,4.34435,39.0,0.83463,2.39090,34.9,0.92635,1.11877,82.8,0.50107,2.76379
Daniel Gafford,DAL,NOP,C,15.00000,6.84806,5.20854,0.89205,0.33316,1.07082,0.56521,2.79958,3.94095,71.0,0.07251,0.24214,29.9,1.17639,1.72819,68.1,1.81940,3.38914
Darius Garland,CLE,CHA,G,33.00000,21.19580,3.86375,7.11448,1.37361,0.16341,2.51906,7.65854,16.41673,46.7,2.70845,7.09666,38.2,3.17028,3.80722,83.3,0.71788,3.14586
Luka Garza,BOS,IND,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Keyonte George,UTA,DEN,G,36.00000,20.22261,4.54219,6.71916,0.89585,0.19559,2.61535,6.58537,15.48959,42.5,2.58189,7.52318,34.3,4.46997,5.31604,84.1,1.10562,3.43657
Shai Gilgeous-Alexander,OKC,MEM,G,34.00000,29.82815,6.91188,6.66030,1.60447,1.02732,2.63762,9.95203,19.49209,51.1,2.19010,5.99995,36.5,7.73399,8.85419,87.3,0.97588,5.93600
Hugo Gonzalez,BOS,IND,F,18.00000,8.44642,3.96530,1.81407,0.67036,0.48262,1.31930,3.01206,6.38002,47.2,0.60709,1.88984,32.1,1.81522,2.25723,80.4,0.91748,3.04782
Aaron Gordon,DEN,UTA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jerami Grant,POR,DET,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Draymond Green,GSW,ORL,C,29.00000,9.37994,6.76539,4.36509,1.10198,0.90526,2.70606,3.43886,7.55071,45.5,1.01617,3.11985,32.6,1.48605,2.05843,72.2,1.32371,5.44168
Javonte Green,DET,POR,F,18.00000,6.41300,3.60508,0.78772,0.94230,0.37008,0.41922,2.29037,4.46752,51.3,0.60077,1.68740,35.6,1.23148,1.49981,82.1,1.24289,2.36220
Josh Green,CHA,CLE,F,15.00000,5.19073,2.17954,1.12246,0.54035,0.19973,0.69225,1.90093,3.83034,49.6,0.77604,1.91470,40.5,0.61282,0.78633,77.9,0.74845,1.43109
Yang Hansen,POR,DET,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tim Hardaway,DEN,UTA,F,27.00000,12.33985,3.10485,1.78371,0.61725,0.17601,0.80833,4.02950,9.45047,42.6,2.40081,6.32505,38.0,1.88004,2.23360,84.2,0.38162,2.72323
Jaden Hardy,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Elijah Harkless,UTA,DEN,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ron Harper,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tobias Harris,DET,POR,F,30.00000,13.75597,6.11772,1.80857,1.16602,0.70388,1.29329,5.10658,10.88450,46.9,1.40462,3.99592,35.2,2.13819,2.50087,85.5,1.20152,4.91620
Isaiah Hartenstein,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Sam Hauser,BOS,IND,F,28.00000,11.02100,5.53068,1.71251,0.83379,0.47579,0.66171,3.89629,8.53665,45.6,2.28802,5.85333,39.1,0.94039,1.19398,78.8,1.13391,4.39677
Jordan Hawkins,NOP,DAL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Scoot Henderson,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Taylor Hendricks,UTA,DEN,F,17.00000,6.73339,3.83916,0.97243,0.62227,0.66809,0.53318,2.43135,5.32799,45.6,0.93606,2.61370,35.8,0.93463,1.14886,81.4,0.97721,2.86195
Buddy Hield,GSW,ORL,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jrue Holiday,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ronald Holland,DET,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
DaRon Holmes,DEN,UTA,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Chet Holmgren,OKC,MEM,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Al Horford,GSW,ORL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jett Howard,ORL,GSW,F,13.00000,5.09749,1.77007,0.63399,0.36055,0.21881,0.66326,1.75167,4.35111,40.3,0.84172,2.56497,32.8,0.75244,0.90055,83.6,0.38853,1.38154
Jay Huff,IND,BOS,C,23.00000,9.87471,5.46172,1.23178,0.57554,1.21530,0.99175,3.48141,7.37366,47.2,1.68137,4.34261,38.7,1.23051,1.53686,80.1,1.33190,4.12982
De'Andre Hunter,CLE,CHA,F,27.00000,14.36986,4.61557,1.54763,0.88310,0.43825,1.00633,4.90211,10.70906,45.8,1.93611,5.17267,37.4,2.62952,3.24610,81.0,0.82166,3.79391
Kyrie Irving,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jonathan Isaac,ORL,GSW,F,11.00000,4.08106,3.38148,0.47711,0.56138,0.64698,0.38379,1.43049,3.20000,44.7,0.47852,1.48386,32.2,0.74156,0.96536,76.8,0.85573,2.52575
Jaden Ivey,DET,POR,G,16.00000,9.71788,2.37482,2.00120,0.68724,0.20846,1.48446,3.29488,7.58087,43.5,1.23390,3.40346,36.3,1.89421,2.47332,76.6,0.74638,1.62844
GG Jackson,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Isaiah Jackson,IND,BOS,C,18.00000,7.18510,5.79084,0.48313,0.68685,1.27129,1.27524,2.79676,5.40044,51.8,0.16230,0.55343,29.3,1.42929,2.11911,67.4,2.27799,3.51285
Jaren Jackson,MEM,OKC,F,32.00000,21.39015,7.49756,2.84772,1.16783,1.45201,2.95670,7.62019,16.99098,44.8,1.72565,5.16677,33.4,4.42413,5.73879,77.1,1.79459,5.70297
Quenton Jackson,IND,BOS,G,20.00000,9.21315,2.70656,2.70292,0.83639,0.19425,0.66861,3.01674,6.77901,44.5,1.52702,4.44996,34.3,1.65264,2.12962,77.6,0.80703,1.89953
Trayce Jackson-Davis,GSW,ORL,C,13.00000,5.04947,4.16125,0.81724,0.30983,0.69963,0.61080,2.14448,3.48125,61.6,0.03716,0.11711,31.7,0.72334,1.17562,61.5,1.20683,2.95441
Sion James,CHA,CLE,F,20.00000,5.96561,2.76981,1.58358,0.64448,0.38977,0.61322,2.04847,4.44884,46.0,0.83547,2.23903,37.3,1.03321,1.22493,84.3,0.97344,1.79637
Daniss Jenkins,DET,POR,G,10.00000,5.19605,1.31845,1.69933,0.61707,0.03676,0.83204,1.83500,4.21232,43.6,0.58128,1.67547,34.7,0.94477,1.17874,80.2,0.44970,0.86875
Ty Jerome,MEM,OKC,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Isaiah Joe,OKC,MEM,G,21.00000,9.87316,3.63257,1.77780,0.62697,0.21519,0.77824,3.37412,7.75270,43.5,2.22402,5.67616,39.2,0.90090,1.10632,81.4,0.49102,3.14155
Cameron Johnson,DEN,UTA,F,34.00000,16.74959,4.78840,2.34969,0.91130,0.32594,1.20055,5.78276,11.57669,50.0,2.65465,6.50956,40.8,2.52942,2.96571,85.3,0.86637,3.92204
Nikola Jokic,DEN,UTA,C,36.00000,29.40672,14.25674,9.11089,1.53469,0.87835,3.08844,10.95016,18.31450,59.8,2.00813,5.01926,40.0,5.49828,6.88195,79.9,3.06516,11.19157
Curtis Jones,DEN,UTA,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Herbert Jones,NOP,DAL,F,27.00000,10.09767,4.59360,2.10992,1.31903,0.44971,1.12504,3.70122,8.24928,44.9,1.15211,3.41214,33.8,1.54313,1.90924,80.8,1.37209,3.22151
Isaac Jones,DET,POR,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kam Jones,IND,BOS,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Spencer Jones,DEN,UTA,F,23.00000,7.46666,3.79110,1.31780,0.91275,0.25072,2.15861,2.63685,6.40521,41.2,1.18237,3.34451,35.4,1.01059,1.55323,65.1,1.75549,2.03561
Tyus Jones,ORL,GSW,G,20.00000,7.67668,2.35022,3.60386,0.87321,0.05824,0.67926,3.01943,6.77641,44.6,0.94132,2.57171,36.6,0.69650,0.81493,85.5,0.28574,2.06448
DeAndre Jordan,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ryan Kalkbrenner,CHA,CLE,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Miles Kelly,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Walker Kessler,UTA,DEN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Bobi Klintman,DET,POR,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kon Knueppel,CHA,CLE,F,34.00000,14.92092,5.53348,3.02630,0.96749,0.30633,2.82356,5.09560,11.04089,46.2,2.07001,5.40473,38.3,2.65971,2.91640,91.2,1.28577,4.24772
John Konchar,MEM,OKC,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jonathan Kuminga,GSW,ORL,F,10.00000,5.28798,1.84411,0.66814,0.30647,0.14349,0.55597,1.97003,4.19500,47.0,0.36634,1.13854,32.2,0.98158,1.35470,72.5,0.47744,1.36666
Jock Landale,MEM,OKC,C,28.00000,11.89501,8.49410,2.56047,0.55181,0.70438,2.05593,4.52118,9.24952,48.9,0.69518,2.67430,26.0,2.15746,2.94866,73.2,3.46849,5.02561
Chaz Lanier,DET,POR,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Malevy Leons,GSW,ORL,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Caris LeVert,DET,POR,G,23.00000,11.36587,3.26263,2.92388,0.99491,0.34128,1.33805,3.86339,9.12391,42.3,1.62436,4.59764,35.3,2.01472,2.62949,76.6,0.73841,2.52423
Damian Lillard,POR,DET,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Dereck Lively,DAL,NOP,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Chris Livingston,CLE,CHA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Kevon Looney,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Caleb Love,POR,DET,G,13.00000,6.86612,1.86654,1.77260,0.38431,0.02059,0.76054,2.43769,7.31610,33.3,1.20289,4.44479,27.1,0.78785,0.91117,86.5,0.51158,1.35496
Kevin Love,UTA,DEN,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tre Mann,CHA,CLE,G,18.00000,8.50802,2.81679,2.58870,0.63926,0.19190,0.95316,3.14267,7.35922,42.7,1.18238,3.29812,35.9,1.04030,1.29148,80.6,0.52230,2.29449
Lauri Markkanen,UTA,DEN,F,33.00000,20.40023,6.82305,2.25141,0.77902,0.53261,1.54189,6.78458,14.73588,46.0,2.47234,7.03976,35.1,4.35873,5.00097,87.2,1.53045,5.29260
Naji Marshall,DAL,NOP,F,31.00000,13.47709,6.11028,3.04172,1.11286,0.30273,1.38188,4.96044,10.32404,48.0,1.46159,4.48089,32.6,2.09463,2.69922,77.6,1.47174,4.63854
Caleb Martin,DAL,NOP,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
