PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID,OWNERSHIP
31735,"Bo Horvat",,C,CAN,CZE,,741412,4,2,,0.2569,0.2212,2.2259,0,0,0,0,0,0.0536,0.0574,0.4781,0.111,6.9,0.12,15.27,6,,31735,0.675,5.05,14.7,,,31049,1,6.54,9.17,17,
31688,"Sam Reinhart",,W,CAN,CZE,,831067,4,1,,0.3529,0.3267,2.3713,0,0,0,0,0,0.1294,0.1378,0.6796,0.2672,8.59,0.28,18.86,14,,31688,0.77,6.31,17,,,30753,1,8.02,11.33,18,
14182,"Brad Marchand",,W,CAN,CZE,,414433,4,,,0.1896,0.2016,1.6083,0,0,0,0,0,0,0,0.3912,0,5.13,0,12.67,0.67,,14182,0.763,3.93,11.7,,,29852,1,5.89,8.35,19,
31732,"Sam Bennett",,C,CAN,CZE,,831069,5,,,0.0587,0.0562,0.6034,0,0,0,0,0,0,0,0.1149,0,1.69,0,7.1,0,,31732,0.401,1.38,12.2,,,30332,1,4.23,5.97,20,39
2295968,"Seth Jarvis",,W,CAN,CZE,,1248085,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,2295968,1.277,0.64,15.7,,,158546,1,1.15,1.15,21,39
1283254,"Logan Thompson",,G,CAN,CZE,,1139760,,,B,0,0,0,0,0.8519,20.3046,1.6045,0.174,0,0,0,0,14.46,7.97,22.47,22.67,,1283254,0,12.48,,,,82970,1,6.26,9.15,22,
37649,"Travis Sanheim",,D,CAN,CZE,,831082,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,37649,0.587,0.29,18.1,,,30397,1,1.15,1.15,23,39
18671,"Jordan Binnington",,G,CAN,CZE,,607980,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,18671,0,0,,,,30439,1,0.58,0,24,39
14507,"Darcy Kuemper",,G,CAN,CZE,,547403,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,14507,0,0,,,,30268,1,0.58,0,25,39
37770,"Radim Simek",,D,CZE,CAN,,1052090,1,,,0.0137,0.2403,0.6498,0,0,0,0,0,0,0,0.254,0,2.3,0,8.38,0,,37770,1.896,2.64,,,,32300,1,4.75,6.89,26,39
37681,"Martin Necas",,W,CZE,CAN,,1057110,1,1,,0.642,1.1007,4.5584,0,0,0,0,0,0.199,0.4021,1.7427,0.6011,20.14,7.43,35.85,56,,37681,1.07,13.65,34.1,,,37907,1,12.27,17.71,27,
18667,"David Pastrnak",,W,CZE,CAN,,831092,1,1,,1.0278,1.1401,6.8324,0,0,0,0,0,0.3259,0.4419,2.1679,0.7678,28.61,13.96,46.71,66,,18667,1.069,18.48,34.8,,,30380,1,14.14,20.3,28,
37707,"Filip Hronek",,D,CZE,CAN,,920361,1,1,,0.1688,0.9532,2.798,0,0,0,0,0,0.0815,0.3989,1.122,0.4804,11.19,2.09,22.43,53,,37707,1.529,8.63,48.4,,,37845,1,8.78,13.06,29,
16757,"Tomas Hertl",,C,CZE,CAN,,659862,1,1,,0.7299,0.8049,4.2888,0,0,0,0,0,0.2316,0.2873,1.5348,0.5189,18.72,6.17,34.22,59,,16757,1.403,12.85,28.2,,,29907,1,12.11,17.34,30,
37696,"David Kampf",,C,CZE,CAN,,1050068,2,,,0.1884,0.3603,1.9735,0,0,0,0,0,0,0,0.5487,0,6.58,0,15.16,18.33,,37696,1.088,5.09,24.1,,,37886,1,6.7,9.64,31,
35921,"Ondrej Kase",,W,CZE,CAN,,831571,2,2,,0.2672,0.3003,2.1324,0,0,0,0,0,0,0,0.5675,0,7.24,0,16.66,9.33,,35921,0,4.94,,,,31502,1,7.36,10.46,32,
