PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,SDK,SFD,REFID
655235,"Roman Cervenka",,C,CZE,SUI,,655235,3,2,,0.1285,0.1433,1.2009,0,0,0,0,0,0,0,0.2718,0,3.64,0,10.08,0,,655235,0,2.55,,,,,1,5.03,7.06,40
31746,"Radek Faksa",,C,CZE,SUI,,659857,4,,,0.0863,0.147,0.914,0,0,0,0,0,0,0,0.2333,0,2.85,0,9.17,0,,31746,1.377,2.71,19.3,,,30523,1,4.94,6.99,41
612934,"Matej Stransky",,W,CZE,SUI,,612934,4,,,0.0833,0.0929,0.7782,0,0,0,0,0,0,0,0.1762,0,2.35,0,8.63,0,,612934,0,1.65,,,,,1,4.91,6.96,42
472511,"Tomas Kundratek",,D,CZE,SUI,,472511,3,,,0.0169,0.0509,0.3906,0,0,0,0,0,0,0,0.0678,0,0.98,0,6.37,0,,472511,0,0.7,,,,,1,4.21,5.95,43
1144866,"Dominik Kubalik",,W,CZE,SUI,,745341,2,2,,0.2124,0.1798,1.8211,0,0,0,0,0,0.0342,0.0397,0.3922,0.0739,5.58,0,13.66,0,,1144866,1.165,4.43,,,,88360,1,6.31,8.84,44
1285060,"Jakub Flek",,W,CZE,SUI,,1285060,4,,,0.0833,0.0929,0.7782,0,0,0,0,0,0,0,0.1762,0,2.35,0,8.63,0,,1285060,0,1.65,,,,,1,4.91,6.96,45
1364090,"Jiri Tichacek",,D,CZE,SUI,,1364090,4,,,0.0085,0.0258,0.1981,0,0,0,0,0,0,0,0.0343,0,0.5,0,5.89,0,,1364090,0,0.35,,,,,1,4.21,5.95,46
37656,"Dan Vladar",,G,CZE,SUI,,878196,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,37656,0,0,,,,32200,1,0.58,0,47
415370,"Lukas Dostal",,G,CZE,SUI,,1121544,,,B,0,0,0,0,0.5868,22.4543,2.3024,0.1077,0,0,0,0,12.34,5.2,21.16,0,,415370,0,10.09,,,,75539,1,6.89,9.19,48
878169,"Filip Chlapik",,W,CZE,SUI,,878169,5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,878169,0,0,,,,,1,1.15,1.15,49
4200011,"Karel Vejmelka",,G,CZE,SUI,,878314,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,0.74,0,,4200011,0,0,,,,166640,1,0.58,0,50
920604,"Joachim Blichfeld",,W,DEN,TBD,,920604,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,0,,920604,0,0,,,,,1,1.15,1.15,51
14278,"Lars Eller",,C,DEN,TBD,,392954,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,5,,14278,0,0,,,,29793,1,1.15,1.15,52,
