"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"Jaren","Jackson","MEM","MEM vs. OKC","17.50","5.28","2.34","2.30","1.21","0.79","2.53","25.11","22.78","19.83","34.02","2025-12-22T15:41:05Z"
"Chet","Holmgren","OKC","MEM vs. OKC","17.36","7.96","1.50","1.60","1.66","0.69","1.42","26.82","25.32","18.86","35.79","2025-12-22T15:41:05Z"
"Jalen","Duren","DET","DET vs. POR","17.11","10.32","2.51","0.00","1.32","0.91","2.06","29.93","27.42","19.62","39.26","2025-12-22T15:41:04Z"
"Cam","Spencer","MEM","MEM vs. OKC","16.79","3.78","6.03","3.26","0.15","1.12","2.28","26.60","20.57","22.82","35.87","2025-12-22T15:41:05Z"
"Bennedict","Mathurin","IND","IND vs. BOS","16.69","5.63","2.19","1.81","0.24","0.70","1.92","24.51","22.32","18.88","30.76","2025-12-22T15:41:03Z"
"Anthony","Black","ORL","ORL vs. GSW","16.58","4.68","3.50","1.52","0.84","1.45","2.51","24.76","21.27","20.08","34.27","2025-12-22T15:41:04Z"
"P.J.","Washington","DAL","DAL vs. NOP","16.56","7.13","2.34","1.82","1.28","1.05","2.25","26.02","23.68","18.89","35.66","2025-12-22T15:41:05Z"
"Payton","Pritchard","BOS","IND vs. BOS","16.48","4.39","4.65","2.86","0.12","0.85","1.30","25.52","20.87","21.13","32.96","2025-12-22T15:41:03Z"
"Jordan","Poole","NOP","DAL vs. NOP","16.47","2.90","3.68","2.37","0.29","0.97","1.76","23.05","19.37","20.15","30.19","2025-12-22T15:41:05Z"
"Cameron","Johnson","DEN","UTA vs. DEN","16.26","4.39","3.68","2.42","0.43","1.10","1.21","24.32","20.65","19.93","32.13","2025-12-22T15:41:04Z"
"Naji","Marshall","DAL","DAL vs. NOP","15.99","5.07","3.30","1.16","0.23","1.18","1.50","24.35","21.06","19.28","31.40","2025-12-22T15:41:05Z"
"Santi","Aldama","MEM","MEM vs. OKC","15.82","7.36","3.85","2.19","0.50","0.88","2.11","27.03","23.18","19.66","35.70","2025-12-22T15:41:05Z"
"Jarrett","Allen","CLE","CHA vs. CLE","14.70","8.60","2.42","0.00","0.99","1.27","1.43","25.72","23.30","17.12","34.31","2025-12-22T15:41:04Z"
"De'Andre","Hunter","CLE","CHA vs. CLE","14.46","4.07","1.82","2.10","0.20","0.88","1.19","20.36","18.54","16.28","26.08","2025-12-22T15:41:04Z"
"Andrew","Nembhard","IND","IND vs. BOS","14.42","2.74","5.65","1.76","0.17","1.00","1.91","22.81","17.16","20.08","30.49","2025-12-22T15:41:03Z"
"Derik","Queen","NOP","DAL vs. NOP","14.13","7.55","4.46","0.14","1.02","1.03","2.02","26.14","21.68","18.59","35.42","2025-12-22T15:41:05Z"
"Toumani","Camara","POR","DET vs. POR","13.87","5.07","3.26","2.59","0.63","1.31","2.01","22.21","18.95","17.13","31.29","2025-12-22T15:41:05Z"
"Jaylon","Tyson","CLE","CHA vs. CLE","13.79","5.84","2.54","1.84","0.50","1.23","1.26","22.17","19.63","16.33","29.90","2025-12-22T15:41:04Z"
"Anfernee","Simons","BOS","IND vs. BOS","13.65","2.61","2.66","2.23","0.06","0.67","1.11","18.92","16.26","16.32","24.04","2025-12-22T15:41:03Z"
"Ace","Bailey","UTA","UTA vs. DEN","13.57","3.56","2.17","1.81","0.55","0.91","1.40","19.30","17.13","15.74","25.79","2025-12-22T15:41:04Z"
"Cedric","Coward","MEM","MEM vs. OKC","13.30","6.90","2.99","1.49","0.34","0.56","2.23","23.20","20.20","16.29","30.08","2025-12-22T15:41:05Z"
"Saddiq","Bey","NOP","DAL vs. NOP","13.20","5.39","1.91","1.33","0.14","0.82","0.72","20.49","18.59","15.10","25.73","2025-12-22T15:41:05Z"
"Jeremiah","Fears","NOP","DAL vs. NOP","13.13","3.19","2.74","0.90","0.15","1.11","1.87","19.05","16.32","15.86","25.13","2025-12-22T15:41:05Z"
"Tim","Hardaway","DEN","UTA vs. DEN","13.10","2.47","1.65","2.65","0.09","0.62","0.46","17.22","15.57","14.75","21.64","2025-12-22T15:41:04Z"
"Tobias","Harris","DET","DET vs. POR","13.00","4.61","2.15","1.36","0.48","1.06","1.21","19.76","17.61","15.16","26.37","2025-12-22T15:41:04Z"
"Jaylen","Wells","MEM","MEM vs. OKC","12.73","4.70","1.91","2.07","0.13","0.75","1.33","19.34","17.43","14.63","24.93","2025-12-22T15:41:05Z"
"Brandon","Williams","DAL","DAL vs. NOP","12.37","2.47","4.53","0.94","0.27","1.38","1.93","19.37","14.84","16.89","26.99","2025-12-22T15:41:05Z"
"Ajay","Mitchell","OKC","MEM vs. OKC","12.36","3.41","3.48","1.31","0.28","1.27","1.33","19.25","15.77","15.84","26.25","2025-12-22T15:41:05Z"
"Wendell","Carter","ORL","ORL vs. GSW","12.28","8.22","1.98","1.22","0.62","0.76","1.41","22.48","20.50","14.26","29.59","2025-12-22T15:41:04Z"
"Kyle","Filipowski","UTA","UTA vs. DEN","12.27","7.46","2.19","1.56","0.47","0.72","1.33","21.91","19.73","14.45","28.71","2025-12-22T15:41:04Z"
"Peyton","Watson","DEN","UTA vs. DEN","11.77","5.12","1.76","0.96","1.33","1.04","1.16","18.65","16.90","13.53","26.60","2025-12-22T15:41:04Z"
"Ausar","Thompson","DET","DET vs. POR","11.46","5.76","2.44","0.16","0.90","1.34","1.30","19.66","17.22","13.91","27.53","2025-12-22T15:41:05Z"
"Jock","Landale","MEM","MEM vs. OKC","11.01","6.72","1.99","1.32","0.43","0.67","1.44","19.72","17.73","13.00","25.98","2025-12-22T15:41:05Z"
"Brice","Sensabaugh","UTA","UTA vs. DEN","11.00","2.76","1.65","2.00","0.28","0.78","1.21","15.41","13.76","12.65","20.65","2025-12-22T15:41:04Z"
"Jusuf","Nurkic","UTA","UTA vs. DEN","10.97","8.78","3.91","0.53","0.45","1.15","1.88","23.66","19.74","14.88","32.21","2025-12-22T15:41:04Z"
"Brandin","Podziemski","GSW","ORL vs. GSW","10.95","4.39","3.05","1.49","0.15","0.94","1.79","18.39","15.34","14.00","24.83","2025-12-22T15:41:04Z"
"Duncan","Robinson","DET","DET vs. POR","10.75","2.57","1.65","2.37","0.25","0.77","0.84","14.98","13.32","12.41","20.09","2025-12-22T15:41:05Z"
"Neemias","Queta","BOS","IND vs. BOS","10.73","8.54","1.76","0.00","1.13","0.65","1.13","21.02","19.26","12.49","28.17","2025-12-22T15:41:03Z"
"Ryan","Nembhard","DAL","DAL vs. NOP","10.69","2.02","7.26","1.55","0.00","0.43","1.95","19.97","12.71","17.95","26.71","2025-12-22T15:41:05Z"
"Klay","Thompson","DAL","DAL vs. NOP","10.56","2.05","1.41","2.41","0.22","0.30","0.64","14.01","12.61","11.97","17.79","2025-12-22T15:41:05Z"
"Collin","Sexton","CHA","CHA vs. CLE","10.53","1.52","3.00","0.80","0.05","0.43","1.64","15.05","12.05","13.53","19.11","2025-12-22T15:41:04Z"
"Isaiah","Collier","UTA","UTA vs. DEN","10.50","2.69","6.81","0.52","0.38","0.73","2.16","20.01","13.19","17.31","27.66","2025-12-22T15:41:04Z"
"Donovan","Clingan","POR","DET vs. POR","10.16","10.69","2.09","0.81","1.90","0.75","1.29","22.94","20.85","12.25","33.00","2025-12-22T15:41:05Z"
"Jay","Huff","IND","IND vs. BOS","9.75","4.92","1.24","2.00","1.88","0.37","0.92","15.92","14.67","10.99","23.72","2025-12-22T15:41:03Z"
"Herbert","Jones","NOP","DAL vs. NOP","9.70","3.40","2.28","1.20","0.25","1.57","1.28","15.37","13.09","11.97","22.22","2025-12-22T15:41:05Z"
"Caris","LeVert","DET","DET vs. POR","9.69","2.40","2.83","1.22","0.37","1.01","1.13","14.92","12.09","12.52","20.88","2025-12-22T15:41:04Z"
"Isaiah","Joe","OKC","MEM vs. OKC","9.62","2.48","1.51","2.69","0.13","0.63","0.55","13.61","12.11","11.13","18.13","2025-12-22T15:41:05Z"
"Sam","Hauser","BOS","IND vs. BOS","9.49","4.27","1.25","1.87","0.29","0.48","0.56","15.01","13.76","10.74","19.45","2025-12-22T15:41:03Z"
"Jaden","Ivey","DET","DET vs. POR","9.41","2.20","2.37","1.01","0.15","0.76","1.71","13.98","11.61","11.78","18.90","2025-12-22T15:41:04Z"
"Bruce","Brown","DEN","UTA vs. DEN","9.37","4.36","2.55","0.88","0.48","1.11","0.89","16.28","13.73","11.92","22.71","2025-12-22T15:41:04Z"
"Isaiah","Stewart","DET","DET vs. POR","9.29","5.84","1.59","0.87","2.23","0.48","1.57","16.72","15.13","10.88","25.62","2025-12-22T15:41:05Z"
"Ronald","Holland","DET","DET vs. POR","8.84","4.29","1.69","0.53","0.43","1.27","1.29","14.82","13.13","10.53","21.05","2025-12-22T15:41:04Z"
"Moses","Moody","GSW","ORL vs. GSW","8.60","3.03","1.44","1.51","0.49","0.81","0.89","13.06","11.62","10.04","18.35","2025-12-22T15:41:04Z"
"T.J.","McConnell","IND","IND vs. BOS","8.59","2.70","3.76","0.33","0.15","0.74","1.16","15.05","11.29","12.35","20.13","2025-12-22T15:41:03Z"
"Svi","Mykhailiuk","UTA","UTA vs. DEN","8.51","2.28","1.96","1.64","0.20","0.45","0.96","12.75","10.79","10.47","16.90","2025-12-22T15:41:04Z"
"Kentavious","Caldwell-Pope","MEM","MEM vs. OKC","8.41","3.00","3.03","1.47","0.31","1.06","1.40","14.44","11.41","11.44","20.87","2025-12-22T15:41:05Z"
"Jose","Alvarado","NOP","DAL vs. NOP","8.40","2.46","3.57","1.40","0.16","1.01","1.45","14.43","10.86","11.97","20.58","2025-12-22T15:41:05Z"
"Jonas","Valanciunas","DEN","UTA vs. DEN","8.34","4.80","1.45","0.09","0.57","0.28","0.77","14.58","13.13","9.78","18.64","2025-12-22T15:41:04Z"
"Quinten","Post","GSW","ORL vs. GSW","8.33","5.12","1.67","1.75","0.68","0.72","0.92","15.12","13.45","10.00","21.38","2025-12-22T15:41:04Z"
"Aaron","Wiggins","OKC","MEM vs. OKC","8.32","2.77","1.48","1.67","0.31","0.56","0.76","12.57","11.09","9.80","16.95","2025-12-22T15:41:05Z"
"Tristan","da Silva","ORL","ORL vs. GSW","8.27","3.49","1.06","1.23","0.19","0.55","0.86","12.82","11.76","9.33","16.75","2025-12-22T15:41:04Z"
"Quenton","Jackson","IND","IND vs. BOS","8.10","2.31","2.43","0.85","0.16","0.75","0.69","12.84","10.41","10.53","17.23","2025-12-22T15:41:03Z"
"Daniel","Gafford","DAL","DAL vs. NOP","7.87","4.12","0.98","0.00","1.48","0.39","0.99","12.97","11.99","8.85","18.72","2025-12-22T15:41:05Z"
"Draymond","Green","GSW","ORL vs. GSW","7.74","5.67","4.60","1.28","1.00","1.20","2.64","18.02","13.41","12.34","28.10","2025-12-22T15:41:03Z"
"Ryan","Kalkbrenner","CHA","CHA vs. CLE","7.64","6.13","0.69","0.00","1.78","0.77","1.07","14.45","13.77","8.32","21.94","2025-12-22T15:41:04Z"
"Cason","Wallace","OKC","MEM vs. OKC","7.63","3.12","2.50","1.34","0.31","1.85","0.80","13.25","10.75","10.13","20.68","2025-12-22T15:41:05Z"
"Alex","Caruso","OKC","MEM vs. OKC","7.49","2.57","1.77","1.44","0.47","1.51","0.65","11.82","10.06","9.26","18.35","2025-12-22T15:41:05Z"
"Moussa","Diabate","CHA","CHA vs. CLE","7.47","6.05","1.11","0.00","0.52","0.56","0.89","14.62","13.51","8.57","19.28","2025-12-22T15:41:04Z"
"Jarace","Walker","IND","IND vs. BOS","7.40","3.57","1.47","1.30","0.26","0.27","1.17","12.44","10.97","8.86","16.36","2025-12-22T15:41:03Z"
"Spencer","Jones","DEN","UTA vs. DEN","7.25","3.04","1.30","0.78","0.46","1.22","0.83","11.58","10.29","8.55","17.16","2025-12-22T15:41:04Z"
"De'Anthony","Melton","GSW","ORL vs. GSW","7.22","2.02","1.74","1.24","0.23","1.06","0.82","10.98","9.24","8.96","15.98","2025-12-22T15:41:04Z"
"Luguentz","Dort","OKC","MEM vs. OKC","7.17","3.32","0.98","1.77","0.36","0.89","0.57","11.47","10.49","8.15","16.45","2025-12-22T15:41:05Z"
"Jase","Richardson","ORL","ORL vs. GSW","7.00","1.63","2.20","1.02","0.00","0.51","0.89","10.83","8.63","9.20","14.30","2025-12-22T15:41:04Z"
"Karlo","Matkovic","NOP","DAL vs. NOP","6.92","3.67","0.98","0.49","0.71","0.31","0.70","11.57","10.59","7.90","15.61","2025-12-22T15:41:05Z"
"Lonzo","Ball","CLE","CHA vs. CLE","6.90","4.14","3.81","1.57","0.35","1.41","1.17","14.85","11.04","10.72","22.69","2025-12-22T15:41:04Z"
"Sidy","Cissoko","POR","DET vs. POR","6.79","3.10","1.75","0.81","0.35","0.64","1.45","11.64","9.89","8.54","16.38","2025-12-22T15:41:05Z"
"Max","Christie","DAL","DAL vs. NOP","6.78","2.14","1.16","1.35","0.20","0.37","0.66","10.07","8.92","7.93","13.34","2025-12-22T15:41:05Z"
"Dean","Wade","CLE","CHA vs. CLE","6.67","4.40","1.88","1.54","0.39","0.91","0.38","12.95","11.07","8.55","18.56","2025-12-22T15:41:04Z"
"Jordan","Walsh","BOS","IND vs. BOS","6.49","5.08","1.15","0.79","0.49","0.90","0.71","12.73","11.58","7.65","18.12","2025-12-22T15:41:03Z"
"Hugo","Gonzalez","BOS","IND vs. BOS","6.34","5.01","0.68","0.82","0.30","1.66","0.91","12.04","11.36","7.02","18.41","2025-12-22T15:41:03Z"
"Tyus","Jones","ORL","ORL vs. GSW","6.12","1.48","3.05","1.39","0.09","0.81","0.55","10.65","7.60","9.17","15.31","2025-12-22T15:41:04Z"
"D'Angelo","Russell","DAL","DAL vs. NOP","6.03","1.31","2.59","0.94","0.20","0.46","1.06","9.93","7.34","8.62","13.88","2025-12-22T15:41:05Z"
"Taylor","Hendricks","UTA","UTA vs. DEN","5.94","3.73","0.82","1.05","0.56","0.61","0.44","10.49","9.67","6.76","14.91","2025-12-22T15:41:04Z"
"Olivier-Maxence","Prosper","MEM","MEM vs. OKC","5.93","3.13","1.24","0.30","0.09","0.62","0.64","10.30","9.06","7.16","13.59","2025-12-22T15:41:05Z"
"Kenrich","Williams","OKC","MEM vs. OKC","5.87","2.97","1.38","1.02","0.12","0.51","0.59","10.22","8.84","7.25","13.72","2025-12-22T15:41:05Z"
"Goga","Bitadze","ORL","ORL vs. GSW","5.74","5.15","1.88","0.08","0.97","0.57","0.59","12.77","10.89","7.62","18.43","2025-12-22T15:41:04Z"
"Josh","Minott","BOS","IND vs. BOS","5.58","2.90","0.78","0.99","0.40","0.61","0.50","9.26","8.48","6.36","13.12","2025-12-22T15:41:03Z"
"Robert","Williams","POR","DET vs. POR","5.57","5.61","0.83","0.06","1.63","0.72","0.87","12.00","11.18","6.39","18.97","2025-12-22T15:41:05Z"
"Isaiah","Jackson","IND","IND vs. BOS","5.48","4.06","0.71","0.00","0.71","0.30","0.70","10.25","9.54","6.19","14.01","2025-12-22T15:41:03Z"
"Kris","Murray","POR","DET vs. POR","5.44","3.54","0.92","0.37","0.44","0.85","0.95","9.90","8.98","6.36","14.48","2025-12-22T15:41:05Z"
"Thomas","Bryant","CLE","CHA vs. CLE","5.36","3.03","0.50","1.12","0.46","0.49","0.45","8.89","8.39","5.86","12.57","2025-12-22T15:41:04Z"
"Jett","Howard","ORL","ORL vs. GSW","5.31","1.26","0.96","0.92","0.15","0.27","0.70","7.52","6.57","6.26","9.96","2025-12-22T15:41:04Z"
"Tre","Mann","CHA","CHA vs. CLE","5.30","1.50","1.87","0.73","0.08","0.47","0.91","8.67","6.80","7.18","11.91","2025-12-22T15:41:04Z"
"Jonathan","Kuminga","GSW","ORL vs. GSW","4.99","1.86","0.78","0.34","0.13","0.23","0.70","7.63","6.86","5.77","9.73","2025-12-22T15:41:04Z"
"Javonte","Green","DET","DET vs. POR","4.95","2.40","0.79","0.54","0.20","1.52","0.58","8.14","7.36","5.74","13.12","2025-12-22T15:41:04Z"
"Nae'Qwan","Tomlin","CLE","CHA vs. CLE","4.95","1.90","0.53","0.38","0.28","0.46","0.22","7.38","6.85","5.48","9.92","2025-12-22T15:41:04Z"
"Tidjane","Salaun","CHA","CHA vs. CLE","4.46","2.96","0.92","0.71","0.12","0.27","0.71","8.34","7.42","5.38","11.02","2025-12-22T15:41:04Z"
"Trayce","Jackson-Davis","GSW","ORL vs. GSW","4.45","3.35","0.83","0.00","0.53","0.42","0.52","8.63","7.80","5.29","12.04","2025-12-22T15:41:04Z"
"Sion","James","CHA","CHA vs. CLE","4.36","2.16","1.07","0.79","0.17","0.46","0.67","7.59","6.52","5.43","10.66","2025-12-22T15:41:04Z"
"Pat","Spencer","GSW","ORL vs. GSW","4.31","1.67","1.72","0.30","0.04","0.39","0.76","7.70","5.98","6.03","10.37","2025-12-22T15:41:04Z"
"Branden","Carlson","OKC","MEM vs. OKC","4.30","2.06","0.82","0.93","0.62","0.18","0.31","7.18","6.35","5.12","10.33","2025-12-22T15:41:05Z"
"James","Wiseman","IND","IND vs. BOS","4.07","3.40","0.39","0.00","0.24","0.08","0.71","7.86","7.48","4.46","9.91","2025-12-22T15:41:03Z"
"Caleb","Love","POR","DET vs. POR","4.06","1.17","0.93","0.68","0.00","0.27","0.45","6.16","5.23","5.00","8.03","2025-12-22T15:41:05Z"
"Jalen","Pickett","DEN","UTA vs. DEN","4.01","1.62","2.11","0.87","0.09","0.40","0.45","7.74","5.63","6.12","10.84","2025-12-22T15:41:04Z"
"Noah","Penda","ORL","ORL vs. GSW","3.99","3.74","1.18","0.45","0.30","0.28","0.74","8.91","7.73","5.18","12.20","2025-12-22T15:41:04Z"
"Will","Richard","GSW","ORL vs. GSW","3.76","1.34","0.50","0.51","0.02","0.39","0.41","5.60","5.10","4.25","7.46","2025-12-22T15:41:04Z"
"Gary","Payton","GSW","ORL vs. GSW","3.57","1.65","0.87","0.43","0.11","0.56","0.45","6.10","5.22","4.44","8.73","2025-12-22T15:41:04Z"
"Tyrese","Proctor","CLE","CHA vs. CLE","3.53","0.88","0.83","0.69","0.00","0.20","0.20","5.25","4.41","4.37","6.73","2025-12-22T15:41:04Z"
"Jonathan","Isaac","ORL","ORL vs. GSW","3.34","2.90","0.43","0.29","0.52","0.75","0.52","6.66","6.24","3.76","10.56","2025-12-22T15:41:04Z"
"Garrison","Mathews","IND","IND vs. BOS","3.24","1.07","0.70","0.74","0.19","0.26","0.33","5.01","4.31","3.94","7.07","2025-12-22T15:41:03Z"
"Johnny","Furphy","IND","IND vs. BOS","3.06","2.89","0.54","0.33","0.25","0.59","0.41","6.48","5.94","3.59","9.53","2025-12-22T15:41:03Z"
"Yves","Missi","NOP","DAL vs. NOP","2.68","2.28","0.43","0.00","0.33","0.12","0.31","5.40","4.97","3.11","7.22","2025-12-22T15:41:05Z"
"Ethan","Thompson","IND","IND vs. BOS","2.58","0.83","0.86","0.51","0.15","0.30","0.07","4.27","3.41","3.44","6.09","2025-12-22T15:41:03Z"
"Daniss","Jenkins","DET","DET vs. POR","2.47","0.59","0.84","0.26","0.01","0.35","0.43","3.91","3.06","3.31","5.55","2025-12-22T15:41:04Z"
"Josh","Green","CHA","CHA vs. CLE","2.37","0.83","0.57","0.44","0.03","0.41","0.39","3.77","3.20","2.94","5.55","2025-12-22T15:41:04Z"
"Craig","Porter","CLE","CHA vs. CLE","1.96","0.92","0.77","0.21","0.16","0.29","0.26","3.65","2.88","2.73","5.39","2025-12-22T15:41:04Z"
"Zeke","Nnaji","DEN","UTA vs. DEN","1.84","0.93","0.35","0.22","0.40","0.37","0.15","3.12","2.77","2.20","5.26","2025-12-22T15:41:04Z"
"Baylor","Scheierman","BOS","IND vs. BOS","1.58","1.00","0.38","0.40","0.03","0.33","0.19","2.96","2.58","1.96","4.41","2025-12-22T15:41:03Z"
"Micah","Peavy","NOP","DAL vs. NOP","1.48","0.92","0.32","0.11","0.02","0.22","0.09","2.72","2.40","1.80","3.68","2025-12-22T15:41:05Z"
"Rayan","Rupert","POR","DET vs. POR","1.46","0.81","0.23","0.16","0.04","0.25","0.35","2.50","2.27","1.69","3.66","2025-12-22T15:41:05Z"
"Gui","Santos","GSW","ORL vs. GSW","1.36","1.03","0.38","0.22","0.05","0.18","0.35","2.78","2.39","1.75","3.97","2025-12-22T15:41:04Z"
"Mason","Plumlee","CHA","CHA vs. CLE","0.99","1.26","0.35","0.00","0.12","0.15","0.17","2.59","2.24","1.33","3.70","2025-12-22T15:41:04Z"
