PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME
36270,"Matt Grzelcyk",2500,D,CHI,PHI,8402940,680847,2,2,,0.0556,0.3428,1.3527,1.0188,0,0,0,0,0.0172,0.0586,0.3984,0.0758,6.02,2.41,5.49,7.96,155,0.33,13.05,0,,36270,0.84,4.53,20.8,170,2205,31824,1
2298879,"Mason Lohrei",2800,D,BOS,MTL,8402840,1248178,3,2,,0.0535,0.2994,0.8917,1.0593,0,0,0,0,0.0162,0.0543,0.3529,0.0705,5.13,1.83,5.16,7.45,156,0,11.73,0,,2298879,0.596,3.8,16.3,160,2153,158578,1
34441,"Adam Pelech",3200,D,NYI,NJD,8402860,680616,2,,,0.0699,0.2832,1.8552,1.9138,0,0,0,0,0,0,0.3531,0,8.36,2.61,5.64,7.91,157,2.52,15.58,0,,34441,1.23,5.94,22,156,2135,30063,1
16714,"Mattias Ekholm",3900,D,EDM,CGY,8402880,595927,1,2,,0.1096,0.2989,1.9383,1.5521,0,0,0,0,0.0141,0.0194,0.4085,0.0335,8.23,2.11,5.94,8.36,158,2.08,15.83,0,,16714,1.183,5.95,20.5,177,1953,30023,1
35789,"Trevor Moore",3300,W,LAK,SEA,8402910,925180,1,,,0.2357,0.2708,2.1259,0.5491,0,0,0,0,0,0,0.5065,0,7.72,2.34,6.73,9.48,159,0.75,16.33,0,,35789,0.96,5.65,15.8,182,2054,31532,1
1286332,"Mark Kastelic",2800,W,BOS,MTL,8402840,1078261,3,,,0.1507,0.1448,1.3608,0.737,0,0,0,0,0,0,0.2955,0,5.34,1.91,5.1,7.13,160,0.06,11.87,0,,1286332,2.939,5.05,13.7,160,2153,92008,1
10148211,"Adam Engstrom",2500,D,MTL,BOS,8402840,1395050,3,,,0.0219,0.1138,0.6461,0.8905,0,0,0,0,0,0,0.1357,0,3.24,1.3,4.5,6.36,161,0,9,0,,10148211,0.827,2.54,12.3,162,2017,231503,0
8131982,"Ivan Demidov",4900,W,MTL,BOS,8402840,1425047,2,1,,0.2415,0.4141,1.7144,0.3994,0,0,0,0,0.0708,0.1314,0.6556,0.2022,7.57,1.54,7.06,10.19,162,0.26,16.61,0,,8131982,0.725,5.68,16,162,2017,449321,0
5297439,"Brandt Clarke",3600,D,LAK,SEA,8402910,1321460,2,2,,0.1086,0.3735,1.8583,1.5037,0,0,0,0,0.0275,0.0626,0.4821,0.0901,8.38,2.33,6.43,9.25,163,1.72,16.61,0,,5297439,0.663,5.88,18,182,2054,164942,1
5269556,"Zachary Bolduc",3800,W,MTL,BOS,8402840,1321471,1,2,,0.2407,0.2162,1.6253,0.5077,0,0,0,0,0.0407,0.04,0.4569,0.0807,6.55,1.72,6.41,9.07,164,0,14.75,0,,5269556,1.547,5.26,14.5,162,2017,165112,0
