PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,PARTNERID,EVEN_STRENGTH,POWER_PLAY,GOALIE_STATUS,G,AST,SOG,BLK,W,SV,GA,SO,PPG,PPA,PTS,PPPTS,FPTS,FPTS/$,SDK,SFD,REFID,FLOOR,CEIL,POWN,SDPARTNERID,RGID,HITS,UD,TOI,TEAM_ID,CORE_TEAM,CORE_ID,HOME,OWNERSHIP
37747,"Miro Heiskanen",5700,D,FIN,SVK,,1057101,1,1,,0.146,0.6335,2.1928,1.3961,0,0,0,0,0.0677,0.2734,0.7795,0.3411,10.49,1.84,7.1,10.39,38,3.13,19.58,30.7,,37747,0.659,7.5,24.4,,,82268,1,
4579470,"Milos Kelemen",2900,W,SVK,FIN,,1156057,3,,,0.1002,0.0998,1.3739,0.4486,0,0,0,0,0,0,0.2,0,4.22,1.46,5.06,7.09,39,0,10.7,2.7,,4579470,1.327,3.49,,,,247071,1,
37746,"Roope Hintz",6700,C,FIN,SVK,,878170,1,1,,0.4397,0.5413,2.4658,0.3946,0,0,0,0,0.1318,0.206,0.981,0.3378,11.41,1.7,9.29,13.37,40,1.79,23.3,25.7,,37746,0.838,8.25,15.3,,,37812,1,
1432388,"Adam Gajan",7400,G,SVK,FIN,,1432388,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,41,-0.6,0.74,0,,1432388,0,0,,,,,1,40
2296188,"Lucas Raymond",5800,W,SWE,ITA,,1207659,2,1,,0.531,0.9615,2.3946,0.2894,0,0,0,0,0.1459,0.4271,1.4925,0.573,14.37,2.48,10.88,15.94,42,3.1,28.3,49,,2296188,0.664,10.33,15.2,,,158681,1,
1283920,"Joel Kiviranta",2500,W,FIN,SVK,,1166552,5,,,0.0619,0.0666,0.5304,0.1943,0,0,0,0,0,0,0.1285,0,2.01,0.8,4.24,5.98,43,0,7.44,0,,1283920,0.712,1.72,10.9,,,92104,1,40
1166695,"Gianluca Vallini",7000,G,ITA,SWE,,1166695,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,44,-0.6,0.74,0,,1166695,0,0,,,,,1,40
4200359,"Juraj Slafkovsky",5900,W,SVK,FIN,,1264222,1,1,,0.2525,0.3942,2.3328,1.0216,0,0,0,0,0.0817,0.1195,0.6467,0.2012,9.72,1.65,7.34,10.43,45,2.12,19.12,21,,4200359,2.336,7.71,48.8,,,204713,1,
341532,"Elias Pettersson",5000,C,SWE,ITA,,1057103,3,,,0.3251,0.418,1.4768,0.7133,0,0,0,0,0,0,0.7431,0,8.47,1.69,8.04,11.57,46,0.14,18.76,10,,341532,0.889,6.26,12.8,,,40137,1,
35895,"Joel Eriksson Ek",5400,C,SWE,ITA,,878051,1,1,,0.5184,0.5708,3.1543,0.4204,0,0,0,0,0.1545,0.1705,1.0892,0.325,13.71,2.54,10.01,14.32,47,3.34,26.52,37.7,,35895,1.683,9.97,15.9,,,31428,1,
415196,"Martin Pospisil",4200,C,SVK,FIN,,1121575,3,2,,0.1145,0.2537,2.1064,0.4121,0,0,0,0,0.0172,0.043,0.3682,0.0602,6.32,1.5,5.82,8.2,48,0.29,13.77,7.7,,415196,4.216,6.36,33.5,,,75454,1,
14266,"Mika Zibanejad",7700,C,SWE,ITA,,600082,3,2,,0.4152,0.5384,2.0596,0.4011,0,0,0,0,0.0887,0.1361,0.9536,0.2248,10.43,1.35,9.21,13.31,49,0.89,22.22,11.3,,14266,0.789,7.61,16.4,,,30240,1,
18978,"Mikko Rantanen",8000,W,FIN,SVK,,878041,1,1,,0.4874,0.7064,2.7236,0.4176,0,0,0,0,0.1381,0.2411,1.1938,0.3792,13.33,1.67,10.31,14.85,50,2.65,26.53,30.3,,18978,0.65,9.41,17.5,,,30679,1,
555945,"Niko Mikkola",3100,D,FIN,SVK,,878283,2,,,0.0542,0.1733,1.1076,1.1483,0,0,0,0,0,0,0.2275,0,4.98,1.61,4.82,6.8,51,0,11.15,2.3,,555945,1.798,4.17,20.9,,,82506,1,
4721423,"Simon Nemec",3400,D,SVK,FIN,,1264202,1,1,,0.0976,0.3132,1.8964,1.8006,0,0,0,0,0.0493,0.1597,0.4108,0.209,8.61,2.53,6.16,8.76,52,2.23,16.49,27.7,,4721423,0.643,5.96,41.2,,,204716,1,
1166687,"Giovanni Morini",2600,W,ITA,SWE,,1166687,,,,0,0,0,0.2853,0,0,0,0,0,0,0,0,0,0,1.2,1.23,53,0,1.54,0,,1166687,0,0.29,,,,,1,40
555781,"Henri Jokiharju",2500,D,FIN,SVK,,1057138,3,,,0.028,0.1245,0.677,0.6111,0,0,0,0,0,0,0.1525,0,2.91,1.16,4.44,6.3,54,0,8.59,0.7,,555781,0.654,2.28,15.6,,,82822,1,
,1,2800,W,SVK,FIN,,743270,,,,0,0,0,0.2853,0,0,0,0,0,0,0,0,0,0,,,55,,,0,,,,,,,,,,40,"Peter Cehlarik"
4900970,"Dalibor Dvorsky",3800,C,SVK,FIN,,1364159,2,1,,0.1748,0.239,1.7664,0.5455,0,0,0,0,0.0547,0.0971,0.4138,0.1518,6.39,1.68,6,8.45,56,0.17,14.07,11.7,,4900970,1.665,5.23,43.9,,,260559,1,
36543,"Rasmus Andersson",5200,D,SWE,ITA,,878174,2,,,0.1369,0.3636,1.7979,1.377,0,0,0,0,0,0,0.5005,0,8.23,1.58,6.37,9.18,57,1.63,16.38,9.7,,36543,0.616,5.76,16.3,,,30906,1,
1285378,"Damian Clara",7000,G,ITA,SWE,,1285378,,,B,0,0,0,0,0.0244,28.6307,5.6378,0.0011,0,0,0,0,4.6,0.66,10.89,12.96,58,-6.68,18.54,2,,1285378,0,0.41,,,,,1,
194540,"Eeli Tolvanen",3900,W,FIN,SVK,,1057139,4,2,,0.2039,0.2084,1.4657,0.582,0,0,0,0,0.0402,0.0588,0.4123,0.099,6.04,1.55,6.41,9.07,59,0,14.24,10.3,,194540,1.933,5.12,13.2,,,39768,1,
1139837,"Michal Ivan",2500,D,SVK,FIN,,1139837,4,,,0.023,0.0732,0.6497,0.8244,0,0,0,0,0,0,0.0962,0,2.94,1.18,4.35,6.09,60,0,8.51,0,,1139837,0,1.9,,,,,1,40
34592,"William Nylander",7500,W,SWE,ITA,,831073,1,1,,0.3772,0.4268,1.8732,0.2023,0,0,0,0,0,0,0.804,0,8.82,1.18,8.07,11.58,61,0.46,19.15,6.7,,34592,0.235,6.16,12.2,,,30259,1,
35941,"Erik Cernak",3800,D,SVK,FIN,,878164,2,,,0.0333,0.1906,1.083,1.6533,0,0,0,0,0,0,0.2239,0,5.84,1.54,4.97,6.96,62,0.69,12.2,5.7,,35941,2.145,4.77,31.5,,,40248,1,
4665951,"Jesper Wallstedt",8400,G,SWE,ITA,,1262663,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,63,-0.6,0.74,0,,4665951,0,0,,,,165037,1,40
1166546,"Mikko Lehtonen",2500,D,FIN,SVK,,1166546,4,2,,0.0329,0.0953,0.6882,0.4688,0,0,0,0,0,0,0.1282,0,2.59,1.04,4.42,6.28,64,0,8.25,0,,1166546,0,1.74,,,,,1,40
1285368,"Daniel Glira",2500,D,ITA,SWE,,1285368,3,,,0.0161,0.0576,0.8144,1.0847,0,0,0,0,0,0,0.0737,0,3.51,1.4,4.43,6.17,65,0,9.18,0.3,,1285368,0,2.23,,,,,1,
1285489,"Davide Fadani",7000,G,ITA,SWE,,1285489,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,66,-0.6,0.74,0,,1285489,0,0,,,,,1,40
1166678,"Alex Trivellato",2800,D,ITA,SWE,,1166678,1,,,0.0237,0.085,1.2014,1.6003,0,0,0,0,0,0,0.1087,0,5.27,1.88,4.86,6.72,67,0.24,11.49,0,,1166678,0,3.28,,,,,1,40
35805,"Sebastian Aho",7200,C,FIN,SVK,,878154,2,1,,0.4531,0.5968,2.5983,0.2849,0,0,0,0,0.1355,0.2534,1.0499,0.3889,11.93,1.66,9.28,13.37,68,2.32,23.81,35,,35805,0.761,8.56,16.8,,,31384,1,
414966,"Martin Fehervary",4000,D,SVK,FIN,,1121502,1,,,0.0614,0.2299,1.309,2.0877,0,0,0,0,0,0,0.2913,0,7.5,1.88,5.31,7.44,69,2,14.3,24,,414966,2.09,5.73,38,,,75410,1,
1166646,"Patrik Koch",2900,D,SVK,FIN,,1166646,,,,0,0,0,0.335,0,0,0,0,0,0,0,0,0,0,1.23,1.27,70,0,1.57,0,,1166646,0.288,0.48,,,,,1,40
1166679,"Luca Zanatta",3200,D,ITA,SWE,,1166679,2,,,0.0213,0.0762,1.0777,1.4355,0,0,0,0,0,0,0.0975,0,4.7,1.47,4.58,6.32,71,0,10.56,1.3,,1166679,0,2.95,,,,,1,
35782,"Artturi Lehkonen",5500,W,FIN,SVK,,743064,2,2,,0.3066,0.3064,2.0799,0.3979,0,0,0,0,0.0311,0.0483,0.613,0.0794,8.21,1.49,7.37,10.47,72,0.57,17.64,18,,35782,0.729,5.95,16.3,,,31453,1,
35951,"Adrian Kempe",5100,W,SWE,ITA,,831097,1,,,0.4487,0.3998,2.3959,0.349,0,0,0,0,0,0,0.8485,0,10.51,2.06,8.8,12.51,73,1.39,21.77,35,,35951,1.369,7.72,12.7,,,31505,1,
878287,"Matthew Bradley",3500,C,ITA,SWE,,878287,1,1,,0.0819,0.1082,1.6703,0.6209,0,0,0,0,0,0,0.1901,0,4.88,1.39,5.26,7.26,74,0,11.61,0,,878287,0,3.22,,,,,1,40
1447509,"Stanislav Skorvanek",7400,G,SVK,FIN,,1447509,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,75,-0.6,0.74,0,,1447509,0,0,,,,,1,40
1372632,"Samuel Takac",2500,W,SVK,FIN,,1372632,4,,,0.0668,0.0787,0.7622,0.2699,0,0,0,0,0,0,0.1455,0,2.59,1.04,4.28,6.01,76,0,8.07,0,,1372632,0,1.75,,,,,1,40
555980,"Adam Ruzicka",3100,C,SVK,FIN,,1057219,1,2,,0.1363,0.1744,1.7078,0.6212,0,0,0,0,0.021,0.0368,0.3107,0.0578,5.75,1.85,5.4,7.53,77,0.16,12.66,6.3,,555980,1.088,4.42,,,,83368,1,
17260,"Gabriel Landeskog",4400,W,SWE,ITA,,600076,4,2,,0.3402,0.4034,1.5817,0.2533,0,0,0,0,0.0736,0.106,0.7436,0.1796,7.94,1.8,8.01,11.53,78,0,18.19,17,,17260,1.013,6.09,12.2,,,30676,1,
800912,"Filip Gustavsson",8400,G,SWE,ITA,,920363,,,B,0,0,0,0,0.998,21.301,0.8986,0.2354,0,0,0,0,18.6,2.21,5.73,8.68,79,12.66,25.93,51.3,,800912,0,16.07,,,,82896,1,
5277877,"Pavol Regenda",4800,W,SVK,FIN,,1372633,3,2,,0.2434,0.2305,2.3763,0.4784,0,0,0,0,0.0379,0.0433,0.4739,0.0812,7.93,1.65,6.68,9.29,80,1.01,16.48,19,,5277877,1.974,6.26,35.9,,,246353,1,
,1,2500,D,SVK,FIN,,554493,3,,,0.0238,0.0758,0.6724,0.8533,0,0,0,0,0,0,0.0996,0,3.04,1.22,,,81,,,0,,,,,,,,,,40,"Martin Marincin"
17394,"Rickard Rakell",6000,W,SWE,ITA,,600132,3,2,,0.3043,0.3719,1.8914,0.4492,0,0,0,0,0.0337,0.0451,0.6762,0.0788,8.29,1.38,7.53,10.82,82,0.49,17.93,6,,17394,1.004,6.2,13.5,,,30661,1,
