PLAYERID,PLAYER,SALARY,POS,TEAM,OPP,SCHEDULE_ID,INJURY,PAATT,CMP,PAYDS,PATD,INT,RUATT,RUYDS,RUTD,TAR,REC,REYDS,RETD,FPTS,FPTS/$,VALUE,OPTO,POWN,SLATE,PARTNERID,CORE_ID,REFID,RGID,PP,UD,TOTYD,TOTTD,PARUYD,PARUTD,RUREYD,RURETD,KPTS,FLOOR,CEIL,SMASH,OWNERSHIP
3503700,"Kevin Austin",3200,WR,NOS,TEN,147565,,0,0,0,0,0,0,0,0,3.92,2.24,25.46,0.19,5.92,1.85,18.28,1.22,1.27%,MAIN,1130526,91527,323,3503700,5.9,4.78,25.46,0.19,0,0,25.46,0.19,0,2.04,13.4,0.76,
329006,"Dante Pettis",3000,WR,NOS,TEN,147565,,0,0,0,0,0,0,0,0,2.39,1.39,14.47,0.12,3.55,1.18,2.3,0.15,0.11%,MAIN,837820,76859,324,329006,3.54,2.84,14.47,0.12,0,0,14.47,0.12,0,0.01,9.76,0.06,
4688161,"Ronnie Bell",3000,WR,NOS,TEN,147565,,0,0,0,0,0,0,0,0,0.47,0.26,2.71,0.02,0.65,0.22,,0,0,MAIN,1130213,55028,325,4688161,0.65,0.52,2.71,0.02,0,0,2.71,0.02,0,0,1.3,,42
36873,"Taysom Hill",2700,TE,NOS,TEN,147565,,0,0,0,0,0,8.1,33.67,0.3,1.45,1.06,8.91,0.04,7.29,2.7,24.76,1.36,2.12%,MAIN,503184,33707,326,36873,7.2,6.67,42.58,0.34,33.67,0.3,42.58,0.34,0,3.06,14.85,3.38,
1844771,"Juwan Johnson",4200,TE,NOS,TEN,147565,,0,0,0,0,0,0,0,0,8.48,6.36,58.69,0.24,13.91,3.31,56.56,15.31,16.03%,MAIN,884609,51690,327,1844771,13.85,10.67,58.69,0.24,0,0,58.69,0.24,0,7.87,22.95,20.6,
2862067,"Jack Stoll",2500,TE,NOS,TEN,147565,,0,0,0,0,0,0,0,0,1.46,0.99,8.21,0.04,2.04,0.82,4.36,0.05,0.02%,MAIN,911985,62108,328,2862067,2.04,1.54,8.21,0.04,0,0,8.21,0.04,0,0,5.61,0.12,
6227868,"Treyton Welch",2500,TE,NOS,TEN,147565,,0,0,0,0,0,0,0,0,0.37,0.24,2.26,0.01,0.52,0.21,0.04,0,0.00%,MAIN,1172752,137333,329,6227868,0.52,0.4,2.26,0.01,0,0,2.26,0.01,0,0,1.04,0,
8228833,"Moliki Matavao",2500,TE,NOS,TEN,147565,,0,0,0,0,0,0,0,0,0.05,0.03,0.3,0,0.06,0.02,,0,0.00%,MAIN,1286173,170582,330,8228833,0.06,0.04,0.3,0,0,0,0.3,0,0,0,0.12,,
6045154,"Charlie Smyth",,K,NOS,TEN,147565,,0,0,0,0,0,0,0,0,0,0,0,0,7.79,21,,0,0.00%,MAIN,1506548,342785,331,6045154,7.79,7.79,0,0,0,0,0,0,6.87,3,13.87,,
18444,"Tennessee Titans",2800,DST,TEN,NOS,147565,,0,0,0,0,0,0,0,0,0,0,0,0,7.3,2.61,40.7,9.44,10.35%,MAIN,336,8493,332,18444,7.3,7.3,0,0,0,0,0,0,0,2.12,14.19,6.4,
8217369,"Jaxson Dart",5400,QB,NYG,LVR,147568,,27.74,16.6,189.1,1.54,0.5,7.49,30.74,0.21,0,0,0,0,17.61,3.26,51.98,8.16,7.36%,MAIN,1286260,170695,333,8217369,17.53,17.53,219.84,1.75,219.84,1.75,30.74,0.21,0,10.97,26.15,6.62,
982203,"Devin Singletary",4900,RB,NYG,LVR,147568,,0,0,0,0,0,7.94,33.72,0.22,0.5,0.34,2.57,0.02,5.39,1.1,4.2,0.07,0.14%,MAIN,916466,48886,334,982203,5.37,5.2,36.29,0.24,33.72,0.22,36.29,0.24,0,2.27,13.48,0.08,
4688060,"Eric Gray",4000,RB,NYG,LVR,147568,,0,0,0,0,0,0.21,0.55,0.01,0.03,0.02,0.16,0,0.15,0.04,0.02,0,0.00%,MAIN,1161798,146342,335,4688060,0.15,0.14,0.71,0.01,0.55,0.01,0.71,0.01,0,0,0.3,0,
6073849,"Dante Miller",,RB,NYG,LVR,147568,,0,0,0,0,0,0.39,1.5,0.01,0.82,0.5,4.56,0.03,1.34,21,1.5,0.02,0.02%,MAIN,1121220,147031,336,6073849,1.33,1.08,6.06,0.04,1.5,0.01,6.06,0.04,0,0,2.68,0.04,
6228388,"Tyrone Tracy",5400,RB,NYG,LVR,147568,,0,0,0,0,0,14.45,60.72,0.38,3.69,2.44,20.2,0.11,13.59,2.52,41.84,12.11,11.88%,MAIN,1109708,51230,337,6228388,13.54,12.32,80.92,0.49,60.72,0.38,80.92,0.49,0,7.52,23.25,7.78,
982456,"Darius Slayton",3900,WR,NYG,LVR,147568,,0,0,0,0,0,0,0,0,5.21,2.95,42.19,0.25,8.78,2.25,29.32,6.44,3.96%,MAIN,880557,61662,338,982456,8.76,7.28,42.19,0.25,0,0,42.19,0.25,0,3.17,17.38,4.92,
