"First Name","Last Name","Team","Matchup","PTS","REB","AST","3PM","BLK","STL","TO","PRA","PR","PA","DFS","Last Updated"
"D'Angelo","Russell","DAL","DAL vs. NOP","6.03","1.31","2.59","0.94","0.20","0.46","1.06","9.93","7.34","8.62","13.88","2025-12-22T22:07:43Z"
"Tidjane","Salaun","CHA","CHA vs. CLE","5.95","3.95","1.22","0.95","0.16","0.35","0.95","11.12","9.89","7.17","14.69","2025-12-22T22:07:42Z"
"Taylor","Hendricks","UTA","UTA vs. DEN","5.94","3.73","0.82","1.05","0.56","0.61","0.44","10.49","9.67","6.76","14.91","2025-12-22T22:07:42Z"
"Caleb","Love","POR","DET vs. POR","5.87","1.69","1.35","0.98","0.00","0.40","0.65","8.90","7.55","7.22","11.60","2025-12-22T22:07:42Z"
"Goga","Bitadze","ORL","ORL vs. GSW","5.74","5.15","1.88","0.08","0.97","0.57","0.59","12.77","10.89","7.62","18.43","2025-12-22T22:07:41Z"
"Sion","James","CHA","CHA vs. CLE","5.37","2.75","1.42","1.10","0.20","0.54","0.78","9.54","8.12","6.79","13.36","2025-12-22T22:07:42Z"
"Thomas","Bryant","CLE","CHA vs. CLE","5.36","3.03","0.50","1.12","0.46","0.49","0.45","8.89","8.39","5.86","12.57","2025-12-22T22:07:41Z"
"Jett","Howard","ORL","ORL vs. GSW","5.31","1.26","0.96","0.92","0.15","0.27","0.70","7.52","6.57","6.26","9.96","2025-12-22T22:07:41Z"
"Hugo","Gonzalez","BOS","IND vs. BOS","5.19","4.10","0.56","0.67","0.24","1.35","0.74","9.85","9.29","5.75","15.06","2025-12-22T22:07:41Z"
"Jonathan","Kuminga","GSW","ORL vs. GSW","4.99","1.86","0.78","0.34","0.13","0.23","0.70","7.63","6.86","5.77","9.73","2025-12-22T22:07:41Z"
"Nae'Qwan","Tomlin","CLE","CHA vs. CLE","4.95","1.90","0.53","0.38","0.28","0.46","0.22","7.38","6.85","5.48","9.92","2025-12-22T22:07:42Z"
"Daniss","Jenkins","DET","DET vs. POR","4.94","1.19","1.69","0.52","0.03","0.71","0.85","7.81","6.12","6.63","11.10","2025-12-22T22:07:42Z"
"Garrison","Mathews","IND","IND vs. BOS","4.86","1.60","1.06","1.11","0.28","0.39","0.50","7.51","6.46","5.91","10.61","2025-12-22T22:07:41Z"
"Trayce","Jackson-Davis","GSW","ORL vs. GSW","4.45","3.35","0.83","0.00","0.53","0.42","0.52","8.63","7.80","5.29","12.04","2025-12-22T22:07:41Z"
"Pat","Spencer","GSW","ORL vs. GSW","4.31","1.67","1.72","0.30","0.04","0.39","0.76","7.70","5.98","6.03","10.37","2025-12-22T22:07:41Z"
"James","Wiseman","IND","IND vs. BOS","4.07","3.40","0.39","0.00","0.24","0.08","0.71","7.86","7.48","4.46","9.91","2025-12-22T22:07:41Z"
"Jalen","Pickett","DEN","UTA vs. DEN","4.01","1.62","2.11","0.87","0.09","0.40","0.45","7.74","5.63","6.12","10.84","2025-12-22T22:07:42Z"
"Noah","Penda","ORL","ORL vs. GSW","3.99","3.74","1.18","0.45","0.30","0.28","0.74","8.91","7.73","5.18","12.20","2025-12-22T22:07:41Z"
"Josh","Green","CHA","CHA vs. CLE","3.95","1.39","0.95","0.74","0.05","0.68","0.66","6.28","5.33","4.89","9.25","2025-12-22T22:07:42Z"
"Ethan","Thompson","IND","IND vs. BOS","3.87","1.25","1.29","0.77","0.22","0.45","0.11","6.41","5.12","5.16","9.13","2025-12-22T22:07:41Z"
"Will","Richard","GSW","ORL vs. GSW","3.76","1.34","0.50","0.51","0.02","0.39","0.41","5.60","5.10","4.25","7.46","2025-12-22T22:07:41Z"
"Mason","Plumlee","CHA","CHA vs. CLE","3.70","4.71","1.30","0.00","0.44","0.58","0.65","9.71","8.40","5.00","13.89","2025-12-22T22:07:42Z"
"Gary","Payton","GSW","ORL vs. GSW","3.57","1.65","0.87","0.43","0.11","0.56","0.45","6.10","5.22","4.44","8.73","2025-12-22T22:07:41Z"
"Tyrese","Proctor","CLE","CHA vs. CLE","3.53","0.88","0.83","0.69","0.00","0.20","0.20","5.25","4.41","4.37","6.73","2025-12-22T22:07:42Z"
"Jonathan","Isaac","ORL","ORL vs. GSW","3.34","2.90","0.43","0.29","0.52","0.75","0.52","6.66","6.24","3.76","10.56","2025-12-22T22:07:41Z"
"Walter","Clayton","UTA","UTA vs. DEN","3.25","1.02","1.68","0.40","0.12","0.21","0.55","5.95","4.27","4.93","8.18","2025-12-22T22:07:42Z"
"Johnny","Furphy","IND","IND vs. BOS","3.06","2.89","0.54","0.33","0.25","0.59","0.41","6.48","5.94","3.59","9.53","2025-12-22T22:07:41Z"
"Craig","Porter","CLE","CHA vs. CLE","2.75","1.28","1.08","0.30","0.22","0.40","0.37","5.11","4.03","3.83","7.55","2025-12-22T22:07:42Z"
"Yves","Missi","NOP","DAL vs. NOP","2.68","2.28","0.43","0.00","0.33","0.12","0.31","5.40","4.97","3.11","7.22","2025-12-22T22:07:43Z"
"Baylor","Scheierman","BOS","IND vs. BOS","2.64","1.67","0.63","0.66","0.05","0.55","0.31","4.93","4.31","3.26","7.34","2025-12-22T22:07:41Z"
"Rayan","Rupert","POR","DET vs. POR","2.62","1.46","0.42","0.29","0.08","0.45","0.63","4.51","4.09","3.04","6.59","2025-12-22T22:07:42Z"
"Zeke","Nnaji","DEN","UTA vs. DEN","1.84","0.93","0.35","0.22","0.40","0.37","0.15","3.12","2.77","2.20","5.26","2025-12-22T22:07:42Z"
"Brooks","Barnhizer","OKC","MEM vs. OKC","1.74","2.13","0.48","0.07","0.14","0.20","0.17","4.35","3.87","2.21","5.92","2025-12-22T22:07:43Z"
"Micah","Peavy","NOP","DAL vs. NOP","1.48","0.92","0.32","0.11","0.02","0.22","0.09","2.72","2.40","1.80","3.68","2025-12-22T22:07:43Z"
"Gui","Santos","GSW","ORL vs. GSW","1.36","1.03","0.38","0.22","0.05","0.18","0.35","2.78","2.39","1.75","3.97","2025-12-22T22:07:41Z"
