,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,OPP,Pos,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Anthony Davis,DAL,NOP,C,34.00000,22.42881,12.91236,4.05969,1.14370,2.07917,1.96526,8.53650,16.53266,51.6,1.03532,3.76936,27.5,4.32048,5.59512,77.2,3.31796,9.59440
Moussa Diabate,CHA,CLE,C,17.00000,6.36622,6.66478,1.02858,0.61636,0.57452,0.91760,2.45302,4.22751,58.0,0.08961,0.31564,28.4,1.37057,2.10003,65.3,2.07412,4.59066
Hunter Dickinson,NOP,DAL,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ousmane Dieng,OKC,MEM,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Luguentz Dort,OKC,MEM,F,22.00000,7.54569,3.96073,1.33610,0.79763,0.34803,0.68878,2.68681,6.32744,42.5,1.57683,4.14538,38.0,0.59524,0.78412,75.9,0.71801,3.24273
Jalen Duren,DET,POR,C,29.00000,13.23904,12.31980,2.72980,0.90339,1.34422,1.93730,5.00933,8.03222,62.4,0.15852,0.44122,35.9,3.06185,4.39781,69.6,4.21411,8.10569
Zach Edey,MEM,OKC,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Dante Exum,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jeremiah Fears,NOP,DAL,G,23.00000,11.05347,4.08327,2.35647,0.80073,0.12188,1.91153,3.89449,9.63253,40.4,1.03900,3.37652,30.8,2.22549,2.66441,83.5,0.74692,3.33635
Kyle Filipowski,UTA,DEN,C,28.00000,14.87898,8.67283,3.02287,0.87661,0.54393,1.66189,5.65774,10.44222,54.2,1.32580,3.69314,35.9,2.23771,3.26017,68.6,2.95000,5.72283
Cooper Flagg,DAL,NOP,F,36.00000,18.39165,7.81916,4.01444,1.21843,0.81435,2.26420,6.41003,13.91186,46.1,2.07557,5.87782,35.3,3.49602,4.31542,81.0,1.44531,6.37385
Johnny Furphy,IND,BOS,G,15.00000,5.15009,3.27407,1.02620,0.48206,0.28184,0.59629,1.67325,4.30303,38.9,0.86953,2.49213,34.9,0.93407,1.13086,82.6,0.51383,2.76024
Daniel Gafford,DAL,NOP,C,15.00000,6.83421,5.20489,0.89056,0.33324,1.07257,0.56481,2.79323,3.93329,71.0,0.07254,0.24210,30.0,1.17520,1.72611,68.1,1.81622,3.38867
Darius Garland,CLE,CHA,G,33.00000,21.10296,3.81921,7.13097,1.37688,0.16119,2.53103,7.61254,16.36485,46.5,2.73022,7.14651,38.2,3.14765,3.77828,83.3,0.70706,3.11215
Luka Garza,BOS,IND,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Keyonte George,UTA,DEN,G,36.00000,20.23739,4.35249,6.73015,0.88881,0.19006,2.56790,6.57538,15.51802,42.4,2.61086,7.60074,34.4,4.47577,5.28513,84.7,1.04622,3.30627
Shai Gilgeous-Alexander,OKC,MEM,G,34.00000,28.45849,6.42484,6.34952,1.52294,0.72962,2.48438,9.77504,19.28587,50.7,2.13990,5.87323,36.4,6.76851,7.81407,86.6,0.88529,5.53955
Hugo Gonzalez,BOS,IND,F,22.00000,10.54984,4.87706,2.25529,0.81329,0.57473,1.57479,3.76237,7.94070,47.4,0.76422,2.35502,32.5,2.26088,2.79981,80.8,1.14692,3.73014
Aaron Gordon,DEN,UTA,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Jerami Grant,POR,DET,F,32.00000,16.87164,4.39595,2.74871,0.89518,0.63824,1.85485,5.26082,12.82908,41.0,2.55083,6.77410,37.7,3.79917,4.41911,86.0,0.90959,3.48637
Draymond Green,GSW,ORL,C,29.00000,9.31825,6.76997,4.36037,1.10274,0.89688,2.70455,3.41658,7.49873,45.6,1.00537,3.09021,32.5,1.47971,2.04834,72.2,1.32228,5.44770
Javonte Green,DET,POR,F,14.00000,5.00816,2.80539,0.62275,0.73993,0.27592,0.31976,1.77900,3.45700,51.5,0.47862,1.32427,36.1,0.97155,1.17783,82.5,0.99167,1.81372
Josh Green,CHA,CLE,F,14.00000,4.86168,2.01681,1.11305,0.50557,0.14718,0.63820,1.77370,3.60471,49.2,0.73785,1.82065,40.5,0.57642,0.75581,76.3,0.63874,1.37807
Yang Hansen,POR,DET,C,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Tim Hardaway,DEN,UTA,F,27.00000,12.36383,3.09985,1.78718,0.61651,0.17581,0.80914,4.03733,9.46884,42.6,2.40548,6.33735,38.0,1.88369,2.23794,84.2,0.38236,2.71749
Jaden Hardy,DAL,NOP,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Elijah Harkless,UTA,DEN,G,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
Ron Harper,BOS,IND,F,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000,0.0,0.00000,0.00000
